Bowling Style,Innings_T20_bowling,Innings_Test_bowling,Balls_Test,Runs_T20_bowling,Runs_Test_bowling,Wickets_T20,Wickets_Test,BBI_T20,BBI_Test,Ave_ODI_bowling,Ave_T20_bowling,Ave_Test_bowling,Econ_T20,Econ_Test,SR_T20_bowling,SR_Test_bowling,4_T20,5_T20,5_Test,10_Test,T20_Matches,Test_Matches,Country,SpanStart_Test,SpanStart_T20,Bowling Hand,AgeStart_Test,AgeStart_T20
0,3,45,4877,93,2445,3,77,0.125,0.1111111111111111,32.12,31.0,31.75,9.3,3.0,20.0,63.3,0,0,2,0,3,26,0,2000,2005,1,22.13150685,27.13150685
0,23,25,2693,617,1273,16,26,0.15,0.1304347826086956,40.44,38.56,48.96,8.87,2.83,26.0,103.5,0,0,0,0,23,16,9,2014,2016,1,26.36712329,28.36712329
0,4,31,3317,140,1980,7,42,0.0588235294117647,0.1304347826086956,22.9,20.0,47.14,9.23,3.58,13.0,78.9,0,0,1,0,4,20,4,2019,2022,1,25.55890411,28.55890411
1,7,7,863,146,518,9,12,0.3846153846153846,0.0638297872340425,32.2,16.22,43.16,6.34,3.6,15.3,71.9,0,1,1,0,7,4,4,2011,2012,0,25.57534247,26.57534247
0,26,97,9602,617,6249,20,165,0.1304347826086956,0.0804597701149425,30.2,30.85,37.87,8.24,3.9,22.4,58.1,0,0,12,0,26,55,1,2003,2007,1,21.47671233,25.47671233
0,46,31,1908,981,991,36,25,0.6,0.0714285714285714,46.3,27.25,39.64,7.65,3.11,21.3,76.3,0,0,0,0,48,17,10,2018,2017,1,24.53424658,23.53424658
0,6,6,366,207,245,8,10,0.09375,0.081081081081081,23.22,25.87,24.5,10.18,4.01,15.2,36.6,0,0,0,0,6,3,8,2023,2023,1,22.82465753,22.82465753
1,15,11,1088,364,561,21,25,0.1363636363636363,0.1891891891891892,19.81,17.33,22.44,7.0,3.09,14.8,43.5,0,0,2,1,15,7,1,2022,2021,0,27.33424658,26.33424658
1,5,2,192,80,141,4,3,0.1428571428571428,0.025,38.91,20.0,47.0,6.57,4.4,18.2,64.0,0,0,0,0,5,1,9,2011,2010,1,30.40273973,29.40273973
0,3,6,818,93,314,4,7,0.1052631578947368,0.1428571428571428,37.01,23.25,44.85,8.45,2.3,16.5,116.8,0,0,0,0,3,4,9,1999,2006,1,23.54246575,30.54246575
1,15,13,1524,373,933,7,17,0.064516129032258,0.05,26.84,53.28,54.88,7.61,3.67,42.0,89.6,0,0,0,0,15,7,2,1996,2006,0,25.47671233,35.47671233
0,1,2,168,25,113,1,1,0.04,0.0357142857142857,44.8,25.0,113.0,6.25,4.03,24.0,168.0,0,0,0,0,1,1,1,2009,2009,1,26.54246575,26.54246575
1,9,8,606,113,297,2,17,0.0909090909090909,0.1111111111111111,39.25,56.5,17.47,7.29,2.94,46.5,35.6,0,0,1,0,78,7,0,2020,2017,1,23.64657534,20.64657534
1,14,5,473,340,252,15,9,0.1304347826086956,0.078125,24.0,22.66,28.0,7.08,3.19,19.2,52.5,0,0,1,0,14,3,8,2019,2020,0,27.65205479,28.65205479
1,93,3,369,1905,233,83,3,0.2,0.0317460317460317,36.5,22.95,77.66,7.15,3.78,19.2,123.0,1,0,0,0,139,2,11,2019,2010,0,27.019178080000003,18.019178080000003
0,6,3,300,200,209,5,2,0.1764705882352941,0.0117647058823529,27.61,40.0,104.5,10.0,4.18,24.0,150.0,0,0,0,0,6,3,11,2023,2022,1,32.68219178,31.682191779999997
1,1,13,1714,17,914,0,15,0.0,0.0545454545454545,73.2,0.0,60.93,5.66,3.19,0.0,114.2,0,0,0,0,1,9,5,2003,2009,1,25.79452055,31.79452055
1,75,9,462,1310,341,43,8,0.3,0.0314960629921259,48.34,30.46,42.62,8.02,4.42,22.7,57.7,0,0,0,0,113,7,2,2013,2012,1,24.79178082,23.79178082
1,38,109,15349,859,7642,51,255,0.2307692307692307,0.0923076923076923,27.76,16.84,29.96,6.36,2.98,15.8,60.1,0,0,17,3,39,60,5,2008,2008,1,29.34794521,29.34794521
0,91,19,937,2205,528,86,17,0.25,0.1785714285714285,35.23,25.63,31.05,8.17,3.38,18.8,55.1,3,0,1,0,102,11,7,2017,2016,1,23.8,22.8
0,11,1,90,331,47,10,0,0.0555555555555555,0.0,24.84,33.1,0.0,9.23,3.13,21.5,0.0,0,0,0,0,11,1,0,2010,2020,1,23.43287671,33.43287671
1,4,14,1152,96,633,4,16,0.09375,0.0357142857142857,34.22,24.0,39.56,6.85,3.29,21.0,72.0,0,0,0,0,4,8,6,1998,2006,1,18.578082190000003,26.578082190000003
1,17,170,25993,373,12157,18,433,1.6666666666666667,0.0708661417322834,31.91,20.72,28.07,6.13,2.8,20.2,60.0,0,1,34,9,17,93,6,1999,2011,0,21.36164384,33.36164384
0,70,1,78,2136,78,102,1,0.2222222222222222,0.0128205128205128,26.4,20.94,78.0,8.16,6.0,15.3,78.0,3,0,0,0,72,1,10,2022,2020,1,28.7260274,26.7260274
0,50,46,4295,1456,2185,60,80,0.2222222222222222,0.1851851851851851,30.84,24.26,27.31,8.45,3.05,17.2,53.6,1,0,6,1,51,24,10,2017,2016,1,23.0739726,22.0739726
0,18,2,234,464,157,18,6,0.0638297872340425,0.0615384615384615,32.1,25.77,26.16,7.48,4.02,20.6,39.0,0,0,0,0,18,1,4,2024,2020,1,24.79726027,20.79726027
0,14,188,19160,400,10078,8,311,0.0588235294117647,0.0945945945945946,30.98,50.0,32.4,8.63,3.15,34.7,61.6,0,0,11,1,14,105,7,2007,2008,1,18.90684932,19.90684932
0,1,7,1021,22,540,0,9,0.0,0.0410958904109589,29.47,0.0,60.0,5.5,3.17,0.0,113.4,0,0,0,0,1,5,1,2006,2006,0,32.05479452,32.05479452
0,4,37,4394,116,2429,6,73,0.0666666666666666,0.08,34.85,19.33,33.27,8.92,3.31,13.0,60.1,0,0,1,0,4,22,0,2005,2009,1,29.05205479,33.05205479
0,18,14,1368,481,884,23,24,0.1578947368421052,0.1304347826086956,37.07,20.91,36.83,8.06,3.87,15.5,57.0,0,0,1,0,19,8,0,2002,2009,1,20.67945205,27.67945205
0,23,54,5884,618,3226,28,100,0.1875,0.1186440677966101,29.72,22.07,32.26,8.02,3.28,16.5,58.8,0,0,7,2,24,29,7,2003,2006,0,18.75616438,21.75616438
1,112,37,4001,3171,2464,138,57,0.1428571428571428,0.0697674418604651,35.73,22.97,43.22,7.99,3.69,17.2,70.1,3,0,1,0,117,20,0,2013,2014,1,20.74520548,21.74520548
0,2,2,84,67,62,1,0,0.0294117647058823,0.0,31.55,67.0,0.0,8.37,4.42,48.0,0.0,0,0,0,0,2,1,10,2006,2007,1,25.66027397,26.66027397
0,2,2,246,55,122,4,3,0.1666666666666666,0.0441176470588235,27.77,13.75,40.66,7.85,2.97,10.5,82.0,1,0,0,0,2,1,5,2006,2005,1,30.9260274,29.9260274
1,2,6,103,17,66,1,0,0.1111111111111111,0.0,47.5,17.0,0.0,12.75,3.84,8.0,0.0,0,0,0,0,16,13,6,2002,2007,1,21.550684930000003,26.550684930000003
1,2,6,663,76,379,0,5,0.0,0.0318471337579617,43.41,0.0,75.8,12.66,3.42,0.0,132.6,0,0,1,0,2,3,9,2014,2018,1,29.161643840000004,33.16164384
0,18,6,535,556,243,19,11,0.1153846153846153,0.119047619047619,29.37,29.26,22.09,8.42,2.72,20.8,48.6,0,0,1,0,18,3,2,2019,2017,1,22.85753425,20.85753425
0,25,24,2609,693,1304,31,42,0.1212121212121212,0.1333333333333333,21.73,22.35,31.04,7.51,2.99,17.8,62.1,1,0,3,0,25,13,5,2019,2019,1,24.3260274,24.3260274
1,15,4,786,416,321,7,11,0.0625,0.0851063829787234,27.76,59.42,29.18,7.87,2.45,45.2,71.4,0,0,0,0,17,2,5,2010,2012,1,28.41917808,30.41917808
0,5,15,492,68,280,2,5,0.5,0.2857142857142857,34.33,34.0,56.0,6.8,3.41,30.0,98.4,0,0,0,0,22,18,0,2008,2008,1,23.980821919999997,23.980821919999997
0,10,7,474,301,231,14,3,0.0789473684210526,0.04,25.0,21.5,77.0,8.68,2.92,14.8,158.0,0,0,0,0,10,4,7,2010,2016,0,18.78082192,24.78082192
1,14,1,60,395,68,7,2,0.0769230769230769,0.0294117647058823,31.44,56.42,34.0,8.0,6.8,42.2,30.0,0,0,0,0,14,1,6,2022,2015,1,32.47945205,25.47945205
0,32,55,4964,793,1983,19,60,0.0909090909090909,0.0975609756097561,29.17,41.73,33.05,8.71,2.39,28.7,82.7,0,0,0,0,36,33,0,2002,2005,1,24.00273973,27.00273973
0,53,21,1076,1078,675,39,14,0.1875,0.0714285714285714,36.0,27.64,48.21,9.09,3.76,18.2,76.8,0,0,0,0,79,12,0,2014,2012,1,23.865753419999997,21.865753419999997
0,30,78,7757,863,4480,33,130,0.5,0.1276595744680851,29.53,26.15,34.46,8.63,3.46,18.1,59.6,0,0,4,0,30,46,1,2003,2006,1,19.10136986,22.10136986
0,26,54,4767,417,2786,20,82,0.2666666666666666,0.0504201680672268,41.4,20.85,33.97,7.65,3.5,16.3,58.1,1,0,3,0,38,31,0,2001,2006,0,20.7260274,25.7260274
0,69,69,7182,1579,3291,89,159,0.4285714285714285,0.2222222222222222,23.55,17.74,20.69,6.27,2.74,16.9,45.1,0,0,10,0,70,36,7,2018,2016,1,24.64657534,22.64657534
0,4,38,3963,104,2133,3,81,0.1176470588235294,0.1851851851851851,42.56,34.66,26.33,8.0,3.22,26.0,48.9,0,0,4,0,4,21,2,2011,2011,1,21.23835616,21.23835616
0,19,350,40037,552,18627,18,704,0.1304347826086956,0.1666666666666666,29.22,30.66,26.45,7.84,2.79,23.4,56.8,0,0,32,3,19,188,5,2003,2007,1,21.0,25.0
0,1,137,14234,49,6770,1,259,0.0204081632653061,0.1891891891891892,25.42,49.0,26.13,12.25,2.85,24.0,54.9,0,0,8,0,1,71,2,1996,2005,1,21.27671233,30.27671233
0,60,118,11029,1906,4821,66,160,0.1851851851851851,0.1428571428571428,36.96,28.87,30.13,8.57,2.62,20.1,68.9,2,1,8,1,63,67,1,2014,2014,1,22.73150685,22.73150685
1,41,60,2763,599,1640,21,43,0.1666666666666666,0.0851063829787234,45.55,28.52,38.555,7.76,3.725,22.0,62.15,0,0,0,0,81,46,8,2008,2007,1,24.290410960000003,23.290410960000003
0,24,2,166,684,98,36,6,0.1851851851851851,0.0784313725490196,30.85,19.0,16.33,7.96,3.54,14.3,27.6,0,1,0,0,24,1,2,2013,2012,0,23.24931507,22.24931507
0,51,132,14577,1449,6778,65,273,0.3333333333333333,0.0895522388059701,26.34,22.29,24.82,7.48,2.78,17.8,53.3,4,0,12,0,51,70,2,2014,2013,1,23.55616438,22.55616438
1,10,42,5833,269,3078,16,65,0.15,0.0454545454545454,34.51,16.81,47.35,8.11,3.16,12.4,89.7,0,0,1,0,11,24,0,2006,2005,1,26.227397259999996,25.227397259999996
0,2,6,612,83,343,2,3,0.0256410256410256,0.0212765957446808,46.66,41.5,114.33,11.85,3.36,21.0,204.0,0,0,0,0,2,4,5,2016,2018,1,25.37534247,27.37534247
0,9,2,234,247,153,7,1,0.2142857142857142,0.0196078431372549,29.9,35.28,153.0,7.96,3.92,26.5,234.0,0,0,0,0,9,1,2,2012,2010,1,26.734246579999997,24.734246579999997
1,1,9,715,20,493,2,16,0.1,0.0520833333333333,28.5,10.0,30.81,10.0,4.13,6.0,44.6,0,0,1,0,1,6,4,2014,2015,1,18.87945205,19.87945205
0,9,41,4605,236,2253,8,71,0.125,0.131578947368421,29.23,29.5,31.73,8.74,2.93,20.2,64.8,0,0,5,0,9,22,10,2011,2011,0,21.59726027,21.59726027
