Bowling Style,Innings_ODI_bowling,Innings_Test_bowling,Balls_ODI,Balls_Test,Runs_ODI_bowling,Runs_Test_bowling,Wickets_ODI,Wickets_Test,BBI_ODI,BBI_Test,Ave_ODI_bowling,Ave_T20_bowling,Ave_Test_bowling,Econ_ODI,Econ_Test,SR_ODI_bowling,SR_Test_bowling,4_ODI,5_ODI,5_Test,10_Test,ODI_Matches,Test_Matches,Country,SpanStart_ODI,SpanStart_Test,Bowling Hand,AgeStart_ODI,AgeStart_Test
0,8,6,129,103,95,66,2,0,0.1,0.0,47.5,17.0,0.0,4.41,3.84,64.5,0.0,0,0,0,0,40,13,7,2002,2002,1,21.550684930000003,21.550684930000003
0,18,6,844,663,738,379,17,5,0.0714285714285714,0.0318471337579617,43.41,0.0,75.8,5.24,3.42,49.6,132.6,0,0,1,0,19,3,11,2014,2014,1,29.161643840000004,29.161643840000004
1,15,6,810,535,793,243,27,11,0.1538461538461538,0.119047619047619,29.37,29.26,22.09,5.87,2.72,30.0,48.6,1,0,1,0,15,3,3,2018,2019,1,21.85753425,22.85753425
1,21,24,1139,2609,913,1304,42,42,0.15,0.1333333333333333,21.73,22.35,31.04,4.8,2.99,27.1,62.1,0,1,3,0,21,13,6,2019,2019,1,24.3260274,24.3260274
0,44,4,2104,786,1666,321,60,11,0.0975609756097561,0.0851063829787234,27.76,59.42,29.18,4.75,2.45,35.0,71.4,3,0,0,0,45,2,6,2010,2010,1,28.41917808,28.41917808
1,19,15,407,492,412,280,12,5,0.1034482758620689,0.2857142857142857,34.33,34.0,56.0,6.07,3.41,33.9,98.4,0,0,0,0,48,18,5,2008,2008,1,23.980821919999997,23.980821919999997
1,8,7,342,474,225,231,9,3,0.0975609756097561,0.04,25.0,21.5,77.0,3.94,2.92,38.0,158.0,1,0,0,0,8,4,4,2013,2010,0,21.78082192,18.78082192
0,20,1,918,60,849,68,27,2,0.4,0.0294117647058823,31.44,56.42,34.0,5.54,6.8,34.0,30.0,1,0,0,0,22,1,7,2015,2022,1,25.47945205,32.47945205
1,154,55,6911,4964,5047,1983,173,60,0.1923076923076923,0.0975609756097561,29.17,41.73,33.05,4.38,2.39,39.9,82.7,3,2,0,0,160,33,5,2001,2002,1,23.00273973,24.00273973
1,72,21,2448,1076,2556,675,71,14,0.1851851851851851,0.0714285714285714,36.0,27.64,48.21,6.26,3.76,34.4,76.8,2,2,0,0,76,12,5,2013,2014,1,22.865753419999997,23.865753419999997
