Batting Style,Playing Role,Innings_T20_batting,Innings_Test_batting,NO_T20,NO_Test,Runs_T20_batting,Runs_Test_batting,HS_T20,HS_Test,Ave_ODI_batting,Ave_T20_batting,Ave_Test_batting,BF_T20,SR_T20_batting,100_T20,100_Test,50_T20,50_Test,0_T20,0_Test,T20_Matches,Test_Matches,Country,SpanStart_Test,SpanStart_T20,AgeStart_Test,AgeStart_T20
1,0,79,18,22,1,1523,532,71,108,34.01,26.71,31.29,1078,141.28,0,1,4,4,3,2,102,11,10,2017,2016,23.8,22.8
1,1,3,19,0,2,12,652,8,160,27.43,4.0,38.35,14,85.71,0,2,0,2,0,1,3,13,7,2000,2005,21.45205479,26.45205479
0,1,9,87,1,7,100,2973,36,200,35.44,12.5,37.16,112,89.28,0,9,0,12,0,6,10,56,7,2016,2016,24.70410959,24.70410959
1,1,73,12,13,0,1356,374,64,85,49.91,22.6,31.16,1138,119.15,0,0,5,4,5,2,79,6,4,2023,2019,23.64657534,19.64657534
0,1,13,27,2,1,210,847,52,147,44.84,19.09,32.57,204,102.94,0,2,2,3,1,1,14,16,9,2017,2013,28.553424659999997,24.553424659999997
0,1,4,16,2,5,48,485,36,200,34.23,24.0,44.09,55,87.27,0,1,0,2,0,0,6,8,2,2018,2013,23.73424658,18.73424658
1,1,19,4,0,0,290,172,54,67,25.0,15.26,43.0,277,104.69,0,0,1,1,1,0,19,2,0,2023,2021,30.96986301,28.96986301
1,1,7,93,1,6,138,3835,51,226,51.25,23.0,44.08,144,95.83,0,9,1,19,0,8,7,52,8,2009,2007,28.26849315,26.26849315
0,0,14,40,7,5,172,1105,33,102,23.39,24.57,31.57,144,119.44,0,1,0,6,0,5,24,29,10,2003,2006,18.75616438,21.75616438
1,1,8,205,1,24,188,7727,60,235,37.87,26.85,42.69,163,115.33,0,22,1,46,0,14,8,118,8,2004,2006,22.29863014,24.29863014
1,1,44,14,6,0,1105,541,72,114,48.0,29.07,38.64,1030,107.28,0,1,8,4,1,2,44,7,2,2019,2019,17.63013699,17.63013699
1,1,55,6,14,1,998,61,62,27,38.37,24.34,12.2,773,129.1,0,0,4,0,2,1,66,4,9,2016,2016,25.904109589999997,25.904109589999997
1,1,1,6,0,1,20,110,20,65,21.92,20.0,22.0,14,142.85,0,0,0,1,0,0,1,3,2,2019,2022,21.58630137,24.58630137
0,1,2,46,0,4,21,1568,14,157,48.27,10.5,37.33,25,84.0,0,3,0,9,0,4,2,24,9,2018,2019,22.60273973,23.60273973
0,1,7,77,0,2,76,2400,19,128,30.69,10.85,32.0,70,108.57,0,3,0,14,1,3,7,40,9,2001,2010,19.19178082,28.19178082
1,1,24,13,1,0,500,427,72,131,24.61,21.73,32.84,370,135.13,0,2,3,1,2,3,25,8,9,1999,2007,17.619178079999998,25.61917808
0,1,13,76,0,2,119,1797,36,150,32.02,9.15,24.28,134,88.8,0,3,0,4,4,4,14,39,11,2008,2010,21.487671229999997,23.487671229999997
