Batting Style,Playing Role,Innings_ODI_batting,Innings_Test_batting,NO_ODI,NO_Test,Runs_ODI_batting,Runs_Test_batting,HS_ODI,HS_Test,Ave_ODI_batting,Ave_T20_batting,Ave_Test_batting,BF_ODI,SR_ODI_batting,100_ODI,100_Test,50_ODI,50_Test,0_ODI,0_Test,ODI_Matches,Test_Matches,Country,SpanStart_ODI,SpanStart_Test,AgeStart_ODI,AgeStart_Test
1,1,34,86,1,2,843,2160,71,135,25.54,26.0,25.71,1414,59.61,0,3,9,9,5,9,35,48,11,1999,1998,20.539726029999997,19.539726029999997
1,1,5,4,0,0,96,120,34,57,19.2,22.75,30.0,157,61.14,0,0,0,1,0,0,5,2,3,2021,2021,19.35616438,19.35616438
1,0,13,10,1,1,192,105,50,9,16.0,21.75,10.58,224,85.71,0,0,1,0,1,2,27,3,6,2016,2019,27.33424658,30.33424658
1,1,110,126,22,14,2200,2898,169,166,25.0,18.7,25.87,2738,80.35,2,4,8,15,4,9,139,74,11,2005,2005,20.37808219,20.37808219
0,1,159,205,6,8,6932,8786,179,335,45.3,33.43,44.59,7127,97.26,22,26,33,37,4,13,161,112,7,2009,2011,22.75616438,24.75616438
1,1,25,10,4,2,575,455,114,116,27.38,25.0,56.87,724,79.41,1,1,1,3,0,1,31,6,2,2016,2016,30.55616438,30.55616438
1,1,19,2,2,0,238,31,37,19,14.0,8.5,15.5,364,65.38,0,0,0,0,3,0,21,1,11,2009,2022,19.71232877,32.71232877
1,1,15,25,1,1,361,711,63,109,25.78,1.2,29.62,486,74.27,0,1,1,4,0,3,16,14,5,2012,2011,28.0,27.0
1,0,141,71,24,1,2968,2200,112,113,25.36,22.01,31.42,3606,82.3,2,3,10,13,11,6,164,40,11,2004,2004,20.810958900000003,20.810958900000003
0,1,30,39,4,0,1450,1074,140,140,55.76,36.38,27.53,1488,97.44,6,1,7,9,5,2,30,22,10,2019,2017,31.904109589999997,29.904109589999997
1,0,35,37,5,5,1577,1608,134,190,52.56,25.92,50.25,1608,98.07,6,5,5,10,0,1,39,23,5,2021,2019,30.19178082,28.19178082
1,0,6,4,0,0,113,46,53,24,18.83,28.25,11.5,206,54.85,0,0,1,0,1,0,8,3,10,1998,1999,24.18356164,25.18356164
0,1,117,102,14,5,3109,3538,124,218,30.18,21.31,36.47,4434,70.11,4,8,18,17,9,5,122,56,11,2009,2010,20.47671233,21.47671233
1,1,7,6,0,0,179,125,59,69,25.57,0.0,20.83,251,71.31,0,0,2,1,0,1,8,3,11,2009,2009,33.03561644,33.03561644
1,0,82,96,10,8,1865,3582,93,173,25.9,21.17,40.7,2373,78.59,0,12,10,14,4,8,90,54,2,2016,2016,24.89589041,24.89589041
0,1,31,37,3,1,1246,1497,152,200,44.5,38.05,41.58,1388,89.76,5,4,3,8,2,3,32,20,5,2021,2021,30.057534250000003,30.057534250000003
0,1,17,45,2,5,228,1038,35,95,15.2,11.8,25.95,360,63.33,0,0,0,6,3,8,20,24,5,2008,2008,23.28493151,23.28493151
1,1,182,109,51,14,5346,4406,144,165,40.8,30.0,46.37,6877,77.73,5,13,37,23,10,7,208,67,7,1992,1992,20.772602740000004,20.772602740000004
1,0,89,14,5,1,1560,320,97,105,18.57,18.18,24.61,1683,92.69,0,1,8,0,14,4,105,10,11,2004,2004,21.29589041,21.29589041
0,1,45,76,2,2,1059,1760,107,108,24.62,33.83,23.78,1506,70.31,1,1,5,8,4,7,47,43,11,2003,2003,21.772602740000004,21.772602740000004
1,1,15,2,2,0,403,24,79,18,31.0,12.66,12.0,502,80.27,0,0,4,0,2,0,17,1,3,2009,2012,23.93150685,26.93150685
0,1,8,12,0,0,117,111,40,29,14.62,22.0,9.25,229,51.09,0,0,0,0,0,3,8,6,11,1997,1997,25.01643836,25.01643836
0,0,24,27,3,1,224,687,28,91,10.66,12.44,26.42,274,81.75,0,0,0,4,2,4,34,17,9,2017,2018,23.53424658,24.53424658
