,Player Name,Born,Age,Batting Style,Bowling Style,Playing Role,Innings_ODI_batting,Innings_T20_batting,Innings_Test_batting,NO_ODI,NO_T20,NO_Test,Runs_ODI_batting,Runs_T20_batting,Runs_Test_batting,HS_ODI,HS_T20,HS_Test,Ave_ODI_batting,Ave_T20_batting,Ave_Test_batting,BF_ODI,BF_T20,BF_Test,SR_ODI_batting,SR_T20_batting,100_ODI,100_T20,100_Test,50_ODI,50_T20,50_Test,0_ODI,0_T20,0_Test,Innings_ODI_bowling,Innings_T20_bowling,Innings_Test_bowling,Balls_ODI,Balls_T20,Balls_Test,Runs_ODI_bowling,Runs_T20_bowling,Runs_Test_bowling,Wickets_ODI,Wickets_T20,Wickets_Test,BBI_ODI,BBI_T20,BBI_Test,Ave_ODI_bowling,Ave_T20_bowling,Ave_Test_bowling,Econ_ODI,Econ_T20,Econ_Test,SR_ODI_bowling,SR_T20_bowling,SR_Test_bowling,4_ODI,4_T20,4_Test,5_ODI,5_T20,5_Test,10_ODI,10_T20,10_Test,ODI_Matches,T20_Matches,Test_Matches,Country,Current Status,SpanStart_ODI,SpanEnd_ODI,SpanStart_Test,SpanEnd_Test,SpanStart_T20,SpanEnd_T20
371,NM Lyon,11/20/1987,36.69041096,Right hand Bat,Right arm Offbreak,Bowler,14,1,163,10,1,44,77,4,1521,30,4,47,19.25,0.0,12.78,83,4,0,92.77,100.0,0,0,0,0,0,0,1,0,17,29,2,242,1626,0,32761,1334,48,16052,29,1,530,4/44,1/33,8/50,46.0,48.0,30.28,4.92,9.6,2.93,56.0,30.0,61.8,1,0,0,0,0,24,0,0,5,29,2,129,AUS,Currently Playing,2012,2019,2011,2024,2016,2018
372,NO Miller,5/16/1982,42.20273973,Right hand Bat,Slow Left arm Orthodox,Bowler,27,5,2,13,4,0,284,43,5,51,15,5,20.28,43.0,2.5,359,47,0,79.1,91.48,0,0,0,1,0,0,4,0,1,46,9,2,2125,0,132,1660,224,67,45,11,0,4/43,2/20,-,36.88,20.36,0.0,4.68,7.07,3.04,47.2,17.2,0.0,2,0,0,0,0,0,0,0,0,50,9,1,WI,Retired,2008,2018,2009,2009,2009,2014
373,NT Broom,11/20/1983,40.69041096,Right hand Bat,Right arm Medium,Middle order Batter,39,7,3,4,1,0,943,73,32,109,36,20,26.94,12.16,10.66,1161,68,0,81.22,107.35,1,0,0,5,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,39,11,2,NZ,Retired,2009,2017,2017,2017,2009,2017
374,NV Ojha,7/20/1983,41.02465753,Right hand Bat,Never Bowled,Wicketkeeper Batter,1,2,2,0,0,0,1,12,56,1,10,35,1.0,6.0,28.0,7,27,0,14.28,44.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,2,1,IND,Retired,2010,2010,2015,2015,2010,2010
375,NW Bracken,9/12/1977,46.87945205,Right hand Bat,Left arm Fast medium,Bowler,35,6,6,18,3,2,199,15,70,21,4,37,11.7,5.0,17.5,282,22,0,70.56,68.18,0,0,0,0,0,0,5,1,0,116,19,10,5759,0,1110,4240,438,505,174,19,12,5/47,3/11,4/48,24.36,23.05,42.08,4.41,6.97,2.72,33.0,19.8,92.5,5,0,0,2,0,0,0,0,0,116,19,5,AUS,Retired,2001,2009,2003,2005,2006,2009
376,Naeem Islam,12/31/1986,37.57808219,Right hand Bat,Right arm Offbreak,Allrounder,51,10,15,15,1,2,975,130,416,84,28,108,27.08,14.44,32.0,1473,114,0,66.19,114.03,0,0,1,5,0,1,5,0,0,48,6,14,1743,0,574,1407,122,303,35,3,1,3/32,2/32,1/11,40.2,40.66,303.0,4.84,8.13,3.16,49.8,30.0,574.0,0,0,0,0,0,0,0,0,0,59,10,8,BAN,Retired,2008,2014,2008,2012,2008,2013
377,Najmul Hossain Shanto,8/25/1998,25.92876712,Left hand Bat,Right arm Offbreak,Top order Batter,44,44,52,3,5,1,1365,908,1481,122,71,163,33.29,23.28,29.03,1674,843,0,81.54,107.71,3,0,5,8,4,3,5,0,7,6,3,11,80,0,118,75,26,86,1,0,0,1/10,-,-,75.0,0.0,0.0,5.62,8.66,4.37,80.0,0.0,0.0,0,0,0,0,0,0,0,0,0,45,46,27,BAN,Currently Playing,2018,2024,2017,2024,2019,2024
378,Naseem Shah,2/15/2003,21.45205479,Right hand Bat,Right arm Fast,Bowler,4,9,22,3,4,8,31,51,102,18,16,18,31.0,10.2,7.28,43,43,0,72.09,118.6,0,0,0,0,0,0,0,2,3,14,27,28,695,0,2856,543,786,1725,32,24,51,5/33,3/21,5/31,16.96,32.75,33.82,4.68,7.69,3.62,21.7,25.5,56.0,0,0,0,2,0,1,0,0,0,14,28,17,PAK,Currently Playing,2022,2023,2019,2023,2022,2024
379,Nasir Hossain,11/30/1991,32.6630137,Right hand Bat,Right arm Offbreak,Allrounder,52,24,32,8,4,2,1281,370,1044,100,50,100,29.11,18.5,34.8,1605,326,0,79.81,113.49,1,0,1,6,2,6,4,2,2,43,11,25,1256,0,924,988,262,442,24,7,8,3/26,2/26,3/52,41.16,37.42,55.25,4.71,8.78,2.87,52.3,25.5,115.5,0,0,0,0,0,0,0,0,0,65,31,19,BAN,Retired,2011,2018,2011,2017,2011,2016
380,Nasir Jamshed,12/6/1989,34.64657534,Left hand Bat,Never Bowled,Opening Batter,48,18,4,3,1,0,1418,363,51,112,56,46,31.51,21.35,12.75,1881,320,0,75.38,113.43,3,0,0,8,2,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,48,18,2,PAK,Retired,2008,2015,2013,2013,2012,2013
