Player Name,Born,Age,Batting Style,Bowling Style,Playing Role,Height,Innings_ODI_batting,Innings_T20_batting,Innings_Test_batting,NO_ODI,NO_T20,NO_Test,Runs_ODI_batting,Runs_T20_batting,Runs_Test_batting,HS_ODI,HS_T20,HS_Test,Ave_ODI_batting,Ave_T20_batting,Ave_Test_batting,BF_ODI,BF_T20,BF_Test,SR_ODI_batting,SR_T20_batting,SR_Test_batting,100_ODI,100_T20,100_Test,50_ODI,50_T20,50_Test,0_ODI,0_T20,0_Test,Span Start_ODI_batting,Span Start_T20_batting,Span Start_Test_batting,Span End_ODI_batting,Span End_T20_batting,Span End_Test_batting,Current Status_ODI_batting,Current Status_T20_batting,Current Status_Test_batting,Innings_ODI_bowling,Innings_T20_bowling,Innings_Test_bowling,Balls_ODI,Balls_T20,Balls_Test,Runs_ODI_bowling,Runs_T20_bowling,Runs_Test_bowling,Wickets_ODI,Wickets_T20,Wickets_Test,BBI_ODI,BBI_T20,BBI_Test,Ave_ODI_bowling,Ave_T20_bowling,Ave_Test_bowling,Econ_ODI,Econ_T20,Econ_Test,SR_ODI_bowling,SR_T20_bowling,SR_Test_bowling,4_ODI,4_T20,4_Test,5_ODI,5_T20,5_Test,10_ODI,10_T20,10_Test,Span Start_ODI_bowling,Span Start_T20_bowling,Span Start_Test_bowling,Span End_ODI_bowling,Span End_T20_bowling,Span End_Test_bowling,Current Status_ODI_bowling,Current Status_T20_bowling,Current Status_Test_bowling,ODI_Matches,T20_Matches,Test_Matches
AJ McKay (NZ),"April 17, 1980, Auckland",44y 103d,Right hand Bat,Left arm Fast medium,Bowler,,10.0,1.0,2.0,7.0,0.0,1.0,12.0,0.0,25.0,4*,0,20*,4.0,0.0,25.0,47.0,1.0,0.0,25.53,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2010,2010,2010,2012,2010,2010,Retired,Retired,Retired,19.0,2.0,1.0,926.0,0.0,186.0,800.0,31.0,120.0,27.0,2.0,1.0,4/53,2/20,1/120,29.62,15.5,120.0,5.18,5.47,3.87,34.2,17.0,186.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,2010,2010,2012,2010,2010,Retired,Retired,Retired,19,2,1
AJ Redmond (NZ),"September 23, 1979, Auckland",44y 310d,Right hand Bat,Legbreak,Top order Batter,,6.0,6.0,16.0,0.0,0.0,1.0,152.0,126.0,325.0,52,63,83,25.33,21.0,21.66,259.0,84.0,0.0,58.68,150.0,,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2009,2009,2008,2010,2010,2013,Retired,Retired,Retired,0.0,1.0,5.0,0.0,0.0,105.0,0.0,24.0,80.0,0.0,2.0,3.0,-,2/24,2/47,,12.0,26.66,,8.47,4.57,,8.5,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,2009,2008,2010,2010,2013,Retired,Retired,Retired,6,7,8
AJ Strauss (ENG),"March 02, 1977, Johannesburg, Transvaal, South Africa",47y 149d,Left hand Bat,Left arm Medium,Opening Batter,,126.0,4.0,178.0,8.0,0.0,6.0,4205.0,73.0,7037.0,158,33,177,35.63,18.25,40.91,5195.0,64.0,0.0,80.94,114.06,,6.0,0.0,21.0,27.0,0.0,27.0,9.0,1.0,15.0,2003,2005,2004,2011,2009,2012,Retired,Retired,Retired,1.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-,-,-,,,,3.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003,2005,2004,2011,2009,2012,Retired,Retired,Retired,127,4,100
AK Markram (SA),"October 04, 1994, Centurion",29y 299d,Right hand Bat,Right arm Offbreak,Opening Batter,,65.0,44.0,67.0,7.0,7.0,1.0,2121.0,1241.0,2398.0,175,70,152,36.56,33.54,36.33,2158.0,864.0,0.0,98.28,143.63,,3.0,0.0,7.0,10.0,9.0,10.0,4.0,2.0,6.0,2017,2019,2017,2023,2024,2024,Retired,Currently Playing,Currently Playing,30.0,23.0,13.0,881.0,0.0,249.0,833.0,375.0,130.0,18.0,12.0,2.0,2/18,3/21,2/27,46.27,31.25,65.0,5.67,7.97,3.13,48.9,23.5,124.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,2019,2017,2023,2024,2024,Retired,Currently Playing,Currently Playing,68,48,37
AL Phehlukwayo (SA),"March 03, 1996, Durban",28y 148d,Left hand Bat,Right arm Medium fast,Bowling Allrounder,,51.0,25.0,4.0,18.0,7.0,2.0,853.0,166.0,19.0,69*,27*,9,25.84,9.22,9.5,973.0,153.0,0.0,87.66,108.49,,0.0,0.0,0.0,2.0,0.0,0.0,4.0,7.0,1.0,2016,2017,2017,2023,2024,2018,Retired,Currently Playing,Retired,73.0,39.0,8.0,2995.0,0.0,250.0,2889.0,1112.0,147.0,91.0,50.0,11.0,4/22,4/24,3/13,31.74,22.24,13.36,5.78,8.91,3.52,32.9,14.9,22.7,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,2017,2017,2023,2024,2018,Retired,Currently Playing,Retired,78,42,4
AM Blignaut (ZIM),"August 01, 1978, Salisbury (now Harare)",45y 363d,Left hand Bat,Right arm Medium fast,Allrounder,,41.0,1.0,36.0,8.0,0.0,3.0,626.0,8.0,886.0,63*,8,92,18.96,8.0,26.84,589.0,8.0,0.0,106.28,100.0,,0.0,0.0,0.0,5.0,0.0,6.0,3.0,0.0,6.0,1999,2010,2001,2010,2010,2005,Retired,Retired,Retired,53.0,0.0,30.0,2348.0,0.0,3173.0,2063.0,0.0,1964.0,50.0,0.0,53.0,4/43,-,5/73,41.26,,37.05,5.27,,3.71,46.9,,59.8,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1999,2010,2001,2010,2010,2005,Retired,Retired,Retired,54,1,19
AM Fernando (SL),"July 31, 1997, Katuneriya",26y 364d,Right hand Bat,Right arm Medium fast,Bowler,,2.0,2.0,19.0,1.0,2.0,7.0,1.0,10.0,36.0,1*,10*,10,1.0,,3.0,6.0,4.0,0.0,16.66,250.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2017,2022,2021,2024,2024,2024,Currently Playing,Currently Playing,Currently Playing,6.0,4.0,22.0,270.0,0.0,2125.0,269.0,160.0,1197.0,5.0,3.0,45.0,2/23,1/34,6/51,53.8,53.33,26.6,5.97,11.42,3.37,54.0,28.0,47.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2017,2022,2021,2024,2024,2024,Currently Playing,Currently Playing,Currently Playing,7,5,14
AM Rahane (IND),"June 06, 1988, Ashwi-KD, Maharashtra",36y 53d,Right hand Bat,Right arm Medium,Top order Batter,,87.0,20.0,144.0,3.0,2.0,12.0,2962.0,375.0,5077.0,111,61,188,35.26,20.83,38.46,3767.0,331.0,0.0,78.63,113.29,,3.0,0.0,12.0,24.0,1.0,26.0,6.0,2.0,10.0,2011,2011,2013,2018,2016,2023,Retired,Retired,Retired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011,2011,2013,2018,2016,2023,Retired,Retired,Retired,90,20,85
AN Cook (ENG),"December 25, 1984, Gloucester",39y 217d,Left hand Bat,Right arm Slow,Opening Batter,,92.0,4.0,291.0,4.0,0.0,16.0,3204.0,61.0,12472.0,137,26,294,36.4,15.25,45.35,4154.0,54.0,0.0,77.13,112.96,,5.0,0.0,33.0,19.0,0.0,57.0,7.0,0.0,9.0,2006,2007,2006,2014,2009,2018,Retired,Retired,Retired,0.0,0.0,2.0,0.0,0.0,18.0,0.0,0.0,7.0,0.0,0.0,1.0,-,-,1/6,,,7.0,,,2.33,,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,2007,2006,2014,2009,2018,Retired,Retired,Retired,92,4,161
AN Petersen (SA),"November 25, 1980, Port Elizabeth, Cape Province",43y 247d,Right hand Bat,Right arm Offbreak,Batter,,19.0,2.0,64.0,1.0,0.0,4.0,504.0,14.0,2093.0,80,8,182,28.0,7.0,34.88,610.0,19.0,0.0,82.62,73.68,,0.0,0.0,5.0,4.0,0.0,8.0,0.0,0.0,3.0,2006,2010,2010,2013,2010,2015,Retired,Retired,Retired,1.0,0.0,7.0,6.0,0.0,114.0,7.0,0.0,62.0,0.0,0.0,1.0,-,-,1/2,,,62.0,7.0,,3.26,,,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006,2010,2010,2013,2010,2015,Retired,Retired,Retired,21,2,36
