,Player Name,Player URL,Span,Matches,Innings,Overs,Maidens,Runs,Wickets,BBI,Ave,Econ,SR,4,5,Born,Age,Batting Style,Bowling Style,Playing Role
40,CA Young (IRE),https://www.espncricinfo.com/ci/content/player/364343.html,2015-2024,65,63,216.2,1,1741,75,4/13,23.21,8.04,17.3,2,0,"April 04, 1990, Londonderry, Ireland",34y 116d,Right hand Bat,Right arm Fast medium,Bowler
41,K Irakoze (RWN),https://www.espncricinfo.com/ci/content/player/1273409.html,2021-2024,75,72,216,5,1416,74,4/20,19.13,6.55,17.5,3,0,26-May-00,24y 64d,Right hand Bat,Right arm Offbreak,
42,AR Ramjani (UGA),https://www.espncricinfo.com/ci/content/player/1178061.html,2022-2024,43,41,142.1,8,688,74,4/9,9.29,4.83,11.5,3,0,24-Sep-94,29y 309d,Left hand Bat,Slow Left arm Orthodox,Allrounder
43,PA van Meekeren (NED),https://www.espncricinfo.com/ci/content/player/348109.html,2013-2024,65,63,220.1,3,1526,74,4/11,20.62,6.93,17.8,2,0,"January 15, 1993, Amsterdam, Netherlands",31y 196d,Right hand Bat,Right arm Fast medium,Bowler
44,Imad Wasim (PAK),https://www.espncricinfo.com/ci/content/player/227758.html,2015-2024,75,74,256,4,1588,73,5/14,21.75,6.2,21,1,1,"December 18, 1988, Swansea, Glamorgan, Wales",35y 224d,Left hand Bat,Slow Left arm Orthodox,Allrounder
45,M Akayezu (RWN),https://www.espncricinfo.com/ci/content/player/1155599.html,2021-2024,74,64,191,3,1528,72,4/9,21.22,8,15.9,3,0,24-Oct-02,21y 279d,Right hand Bat,Right arm Medium,
46,R Ashwin (IND),https://www.espncricinfo.com/ci/content/player/26421.html,2010-2022,65,65,242,3,1672,72,4/8,23.22,6.9,20.1,2,0,"September 17, 1986, Madras (now Chennai), Tamil Nadu",37y 316d,Right hand Bat,Right arm Offbreak,Bowling Allrounder
47,Junaid Siddique (UAE),https://www.espncricinfo.com/ci/content/player/1203754.html,2019-2024,55,55,202.5,2,1540,72,4/12,21.38,7.59,16.9,3,0,"December 06, 1992, Multan, Pakistan",31y 236d,Right hand Bat,Right arm Medium fast,Bowler
48,Taskin Ahmed (BAN),https://www.espncricinfo.com/ci/content/player/538506.html,2014-2024,67,65,232,4,1724,72,4/16,23.94,7.43,19.3,2,0,"April 03, 1995, Dhaka",29y 117d,Left hand Bat,Right arm Fast,Bowler
49,Zahoor Khan (UAE),https://www.espncricinfo.com/ci/content/player/384525.html,2017-2023,57,57,206.3,1,1406,72,4/16,19.52,6.8,17.2,2,0,"May 25, 1989, Faisalabad, Punjab",35y 65d,Right hand Bat,Right arm Medium fast,Bowler
