Player Name,Born,Batting Style,Bowling Style,Playing Role,Innings_ODI_batting,Innings_T20_batting,Innings_Test_batting,NO_ODI,NO_T20,NO_Test,Runs_ODI_batting,Runs_T20_batting,Runs_Test_batting,HS_ODI,HS_T20,HS_Test,Ave_ODI_batting,Ave_T20_batting,Ave_Test_batting,BF_ODI,BF_T20,SR_ODI_batting,SR_T20_batting,100_ODI,100_T20,100_Test,50_ODI,50_T20,50_Test,0_ODI,0_T20,0_Test,Innings_ODI_bowling,Innings_T20_bowling,Innings_Test_bowling,Balls_ODI,Balls_Test,Runs_ODI_bowling,Runs_T20_bowling,Runs_Test_bowling,Wickets_ODI,Wickets_T20,Wickets_Test,BBI_ODI,BBI_T20,BBI_Test,Ave_ODI_bowling,Ave_T20_bowling,Ave_Test_bowling,Econ_ODI,Econ_T20,Econ_Test,SR_ODI_bowling,SR_T20_bowling,SR_Test_bowling,4_ODI,4_T20,5_ODI,5_T20,5_Test,10_Test,ODI_Matches,T20_Matches,Test_Matches,Country,SpanStart_ODI,SpanStart_Test,SpanStart_T20,Bowling Hand,AgeStart_ODI,AgeStart_Test,AgeStart_T20
AS Joseph,1996-11-20,Right hand Bat,Pacer,Bowler,41,10,55,16,7,0,425,72,668,49,14,86,17.0,24.0,12.14,579,71,73.4,101.4,0,0,0,0,0,2,4,1,12,67,29,65,3464,5889,3158,928,3678,111,48,102,0.08928571428571429,0.125,0.06172839506172839,28.45,19.33,36.05,5.46,8.51,3.74,31.2,13.6,57.7,4,2,1,1,1,0,68,29,35,WI,2016,2016,2022,Right Hand,19.69041096,19.69041096,25.69041096
AU Rashid,1988-02-17,Right hand Bat,Spinner,Bowler,68,34,33,23,16,5,826,103,540,69,22,61,18.35,5.72,19.28,839,121,98.45,85.12,0,0,0,1,0,2,6,3,3,129,110,34,6789,3816,6377,2936,2390,199,120,60,0.18518518518518517,2.0,0.10204081632653061,32.04,24.46,39.83,5.63,7.33,3.75,34.1,20.0,63.6,8,3,2,0,2,0,135,114,19,ENG,2009,2015,2009,Right Hand,21.446575340000003,27.446575340000003,21.446575340000003
Abdur Rauf,1978-12-09,Right hand Bat,Pacer,Bowler,0,0,6,0,0,0,0,0,52,0,0,31,0.0,0.0,8.66,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,4,1,6,214,450,212,21,278,8,0,6,0.125,0.0,0.03389830508474576,26.5,0.0,46.33,5.94,7.0,3.7,26.7,0.0,75.0,0,0,0,0,0,0,4,1,3,PAK,2008,2009,2008,Right Hand,29.63835616,30.63835616,29.63835616
Abdur Razzak,1982-06-15,Left hand Bat,Spinner,Bowler,97,20,22,39,10,6,779,41,248,53,9,43,13.43,4.1,15.5,1020,74,76.37,55.4,0,0,0,1,0,0,12,5,1,152,33,20,7965,3015,6065,838,1673,207,44,28,0.1724137931034483,0.25,0.06349206349206349,29.29,19.04,59.75,4.56,6.88,3.32,38.4,16.5,107.6,5,1,4,0,0,0,153,34,13,BAN,2004,2006,2006,Left Hand,22.120547950000002,24.120547950000002,24.120547950000002
Abdur Rehman,1980-03-01,Left hand Bat,Spinner,Bowler,23,5,31,6,3,3,142,22,395,31,7,60,8.35,11.0,14.1,263,29,53.99,75.86,0,0,0,0,0,2,4,0,4,31,8,43,1624,6892,1142,192,2910,30,11,99,0.08333333333333333,0.2857142857142857,0.24,38.06,17.45,29.39,4.21,7.38,2.53,54.1,14.1,69.6,1,0,0,0,2,0,31,8,22,PAK,2006,2007,2007,Left Hand,26.410958899999997,27.410958899999997,27.410958899999997
Abu Jayed,1993-08-02,Right hand Bat,Pacer,Bowler,0,2,22,0,0,8,0,3,36,0,2,8,0.0,1.5,2.57,0,7,0.0,42.85,0,0,0,0,0,0,0,0,7,2,3,18,108,1964,114,106,1118,5,4,30,0.08620689655172414,0.07407407407407407,0.056338028169014086,22.8,26.5,37.26,6.33,9.63,3.41,21.6,16.5,65.4,0,0,1,0,0,0,2,3,13,BAN,2019,2018,2018,Right Hand,25.99178082,24.99178082,24.99178082
Abul Hasan,1992-08-05,Left hand Bat,Pacer,Bowler,3,2,5,0,0,3,11,14,165,7,9,113,3.66,7.0,82.5,16,11,68.75,127.27,0,0,1,0,0,0,0,0,0,7,5,5,216,528,244,148,371,0,4,3,0.0,0.06060606060606061,0.025,0.0,37.0,123.66,6.77,10.57,4.21,0.0,21.0,176.0,0,0,0,0,0,0,7,5,3,BAN,2012,2012,2012,Right Hand,19.98356164,19.98356164,19.98356164
Aizaz Cheema,1979-09-05,Right hand Bat,Pacer,Bowler,6,1,5,3,1,5,26,0,1,9,0,1,8.66,0.0,0.0,45,3,57.77,0.0,0,0,0,0,0,0,0,0,0,14,5,14,658,1200,593,116,638,23,8,20,0.09302325581395349,0.13333333333333333,0.16666666666666666,25.78,14.5,31.9,5.4,6.82,3.19,28.6,12.7,60.0,2,1,0,0,0,0,14,5,7,PAK,2011,2011,2011,Right Hand,31.89863014,31.89863014,31.89863014
Al-Amin Hossain,1992-12-27,Right hand Bat,Pacer,Bowler,7,6,11,5,4,7,4,7,90,2,5,32,2.0,3.5,22.5,20,12,20.0,58.33,0,0,0,0,0,0,2,1,0,15,29,10,663,1016,608,730,545,22,43,9,0.0784313725490196,0.15,0.0375,27.63,16.97,60.55,5.5,7.13,3.21,30.1,14.2,112.8,2,0,0,0,0,0,15,31,7,BAN,2014,2013,2013,Right Hand,21.5890411,20.5890411,20.5890411
Alok Kapali,1984-01-01,Right hand Bat,Spinner,Allrounder,66,7,34,3,2,1,1235,57,584,115,19,85,19.6,11.4,17.69,1817,85,67.96,67.05,1,0,0,5,0,2,5,2,6,49,2,19,1452,1103,1255,35,709,24,2,6,0.061224489795918366,0.16666666666666666,1.0,52.29,17.5,118.16,5.18,7.0,3.85,60.5,15.0,183.8,0,0,0,0,0,0,69,7,17,BAN,2002,2002,2007,Right Hand,18.575342470000002,18.575342470000002,23.575342470000002
Amir Hamza,1991-08-15,Right hand Bat,Spinner,Allrounder,16,9,6,9,5,2,23,40,83,7,21,34,3.28,10.0,20.75,94,38,24.46,105.26,0,0,0,0,0,0,1,1,0,31,33,8,1552,984,1016,752,517,40,30,18,0.23529411764705882,0.07692307692307693,0.08,25.4,25.06,28.72,3.92,6.77,3.15,38.8,22.2,54.6,1,0,0,0,2,0,31,33,4,AFG,2012,2019,2013,Left Hand,20.956164379999997,27.956164379999997,21.956164379999997
Ariful Haque,1992-11-18,Right hand Bat,Pacer,Allrounder,0,8,4,0,4,1,0,59,88,0,18,41,0.0,14.75,29.33,0,61,0.0,96.72,0,0,0,0,0,0,0,1,0,1,1,3,18,66,17,13,24,0,1,1,0.0,0.07692307692307693,0.1,0.0,13.0,24.0,5.66,13.0,2.18,0.0,6.0,66.0,0,0,0,0,0,0,1,9,2,BAN,2018,2018,2018,Right Hand,25.69589041,25.69589041,25.69589041
