Player Name,Born,Batting Style,Bowling Style,Playing Role,Innings_ODI_batting,Innings_T20_batting,Innings_Test_batting,NO_ODI,NO_T20,NO_Test,Runs_ODI_batting,Runs_T20_batting,Runs_Test_batting,HS_ODI,HS_T20,HS_Test,Ave_ODI_batting,Ave_T20_batting,Ave_Test_batting,BF_ODI,BF_T20,SR_ODI_batting,SR_T20_batting,100_ODI,100_T20,100_Test,50_ODI,50_T20,50_Test,0_ODI,0_T20,0_Test,Innings_ODI_bowling,Innings_T20_bowling,Innings_Test_bowling,Balls_ODI,Balls_Test,Runs_ODI_bowling,Runs_T20_bowling,Runs_Test_bowling,Wickets_ODI,Wickets_T20,Wickets_Test,BBI_ODI,BBI_T20,BBI_Test,Ave_ODI_bowling,Ave_T20_bowling,Ave_Test_bowling,Econ_ODI,Econ_T20,Econ_Test,SR_ODI_bowling,SR_T20_bowling,SR_Test_bowling,4_ODI,4_T20,5_ODI,5_T20,5_Test,10_Test,ODI_Matches,T20_Matches,Test_Matches,Country,SpanStart_ODI,SpanStart_Test,SpanStart_T20,Bowling Hand,AgeStart_ODI,AgeStart_Test,AgeStart_T20
Ibrahim Zadran,2001-12-12,Right hand Bat,Pacer,Batter,33,44,14,3,6,0,1440,1105,541,162,72,114,48.0,29.07,38.64,1790,1030,80.44,107.28,5,0,1,7,8,4,2,1,2,0,0,1,0,12,0,0,13,0,0,1,0.0,0.0,0.07692307692307693,0.0,0.0,13.0,0.0,0.0,6.5,0.0,0.0,12.0,0,0,0,0,0,0,33,44,7,AFG,2019,2019,2019,Right Hand,17.63013699,17.63013699,17.63013699
Iftikhar Ahmed,1990-09-03,Right hand Bat,Spinner,Batter,24,55,6,8,14,1,614,998,61,109,62,27,38.37,24.34,12.2,576,773,106.59,129.1,1,0,0,1,4,0,0,2,1,22,25,5,796,206,742,349,161,16,8,1,0.125,0.125,1.0,46.37,43.62,161.0,5.59,7.09,4.68,49.7,36.8,206.0,0,0,1,0,0,0,28,66,4,PAK,2015,2016,2016,Right Hand,24.904109589999997,25.904109589999997,25.904109589999997
Ihsanullah,1997-12-28,Right hand Bat,Unknown,Batter,16,1,6,2,0,1,307,20,110,57,20,65,21.92,20.0,22.0,440,14,69.77,142.85,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,16,1,3,AFG,2017,2019,2022,Unknown,19.58630137,21.58630137,24.58630137
Imam-ul-Haq,1995-12-22,Left hand Bat,Unknown,Batter,71,2,46,6,0,4,3138,21,1568,151,14,157,48.27,10.5,37.33,3801,25,82.55,84.0,9,0,3,20,0,9,3,0,4,0,0,1,0,12,0,0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0,0,0,0,0,0,72,2,24,PAK,2017,2018,2019,Unknown,21.60273973,22.60273973,23.60273973
Imran Farhat,1982-05-20,Left hand Bat,Spinner,Batter,58,7,77,2,0,2,1719,76,2400,107,19,128,30.69,10.85,32.0,2489,70,69.06,108.57,1,0,3,13,0,14,3,1,3,8,0,15,116,427,110,0,284,6,0,3,0.3,0.0,0.028985507246376812,18.33,0.0,94.66,5.68,0.0,3.99,19.3,0.0,142.3,0,0,0,0,0,0,58,7,40,PAK,2001,2001,2010,Right Hand,19.191780819999998,19.191780819999998,28.191780819999998
Imran Nazir,1981-12-16,Right hand Bat,Spinner,Batter,79,24,13,2,1,0,1895,500,427,160,72,131,24.61,21.73,32.84,2339,370,81.01,135.13,2,0,2,9,3,1,10,2,3,4,0,0,49,0,48,0,0,1,0,0,0.3333333333333333,0.0,0.0,48.0,0.0,0.0,5.87,0.0,0.0,49.0,0.0,0.0,0,0,0,0,0,0,79,25,8,PAK,1999,1999,2007,Right Hand,17.619178079999998,17.619178079999998,25.619178079999998
Imrul Kayes,1987-02-02,Left hand Bat,Spinner,Batter,78,13,76,2,0,2,2434,119,1797,144,36,150,32.02,9.15,24.28,3423,134,71.1,88.8,4,0,3,16,0,4,2,4,4,0,0,4,0,24,0,0,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,78,14,39,BAN,2008,2008,2010,Left Hand,21.487671229999997,21.487671229999997,23.487671229999997
Ishan Kishan,1998-07-18,Left hand Bat,Unknown,Batter,24,32,3,2,1,2,933,796,78,210,89,52,42.4,25.67,78.0,913,640,102.19,124.37,1,0,0,7,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,27,32,2,IND,2021,2023,2021,Unknown,23.03013699,25.03013699,23.03013699
J Gumbie,1995-12-25,Right hand Bat,Unknown,Batter,12,3,2,0,0,0,354,43,73,78,17,49,29.5,14.33,36.5,527,52,67.17,82.69,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,12,3,1,ZIM,2023,2024,2024,Unknown,27.59452055,28.59452055,28.59452055
J Mubarak,1981-01-10,Left hand Bat,Spinner,Allrounder,37,15,23,6,4,1,704,238,385,72,46,49,22.7,21.63,17.5,1115,188,63.13,126.59,0,0,0,4,0,0,1,2,5,8,2,6,129,103,95,17,66,2,1,0,0.1,0.1111111111111111,0.0,47.5,17.0,0.0,4.41,12.75,3.84,64.5,8.0,0.0,0,0,0,0,0,0,40,16,13,SL,2002,2002,2007,Right Hand,21.550684930000003,21.550684930000003,26.550684930000003
JAH Marshall,1979-02-15,Right hand Bat,Pacer,Batter,10,2,11,0,0,0,250,14,218,161,13,52,25.0,7.0,19.81,313,15,79.87,93.33,1,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10,3,7,NZ,2005,2005,2005,Right Hand,26.45205479,26.45205479,26.45205479
JC Buttler,1990-09-08,Right hand Bat,Unknown,Batter,154,114,100,27,23,9,5022,3264,2907,162,101,152,39.54,35.86,31.94,4288,2231,117.11,146.3,11,1,2,26,24,18,14,7,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,181,124,57,ENG,2012,2014,2011,Unknown,21.890410959999997,23.890410959999997,20.890410959999997
JC Tredwell,1982-02-27,Left hand Bat,Spinner,Allrounder,25,6,2,11,3,0,163,32,45,30,22,37,11.64,10.66,22.5,242,20,67.35,160.0,0,0,0,0,0,0,3,1,0,44,15,4,2104,786,1666,416,321,60,7,11,0.0975609756097561,0.0625,0.0851063829787234,27.76,59.42,29.18,4.75,7.87,2.45,35.0,45.2,71.4,3,0,0,0,0,0,45,17,2,ENG,2010,2010,2012,Right Hand,28.419178080000002,28.419178080000002,30.419178080000002
JD Campbell,1993-09-21,Left hand Bat,Spinner,Batter,5,2,40,0,0,6,248,11,888,179,11,68,49.6,5.5,26.11,214,16,115.88,68.75,1,0,0,0,0,3,0,1,2,1,1,2,6,61,13,1,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,2.95,0.0,0.0,0.0,0,0,0,0,0,0,6,2,20,WI,2019,2019,2019,Right Hand,25.85479452,25.85479452,25.85479452
JD Ryder,1984-08-06,Left hand Bat,Pacer,Allrounder,42,21,33,1,1,2,1362,457,1269,107,62,201,33.21,22.85,40.93,1429,358,95.31,127.65,3,0,3,6,3,6,5,2,4,19,5,15,407,492,412,68,280,12,2,5,0.10344827586206896,0.5,0.2857142857142857,34.33,34.0,56.0,6.07,6.8,3.41,33.9,30.0,98.4,0,0,0,0,0,0,48,22,18,NZ,2008,2008,2008,Right Hand,23.980821919999997,23.980821919999997,23.980821919999997
JDP Oram,1978-07-28,Left hand Bat,Pacer,Allrounder,116,30,59,15,7,10,2434,474,1780,101,66,133,24.09,20.6,36.32,2810,339,86.61,139.82,1,0,5,13,2,6,8,3,4,154,32,55,6911,4964,5047,793,1983,173,19,60,0.19230769230769232,0.09090909090909091,0.0975609756097561,29.17,41.73,33.05,4.38,8.71,2.39,39.9,28.7,82.7,3,0,2,0,0,0,160,36,33,NZ,2001,2002,2005,Right Hand,23.002739730000002,24.002739730000002,27.002739730000002
JDS Neesham,1990-09-17,Left hand Bat,Pacer,Allrounder,65,63,22,12,21,1,1495,944,709,97,48,137,28.2,22.47,33.76,1496,611,99.93,154.5,0,0,2,7,0,4,3,6,2,72,53,21,2448,1076,2556,1078,675,71,39,14,0.18518518518518517,0.1875,0.07142857142857142,36.0,27.64,48.21,6.26,9.09,3.76,34.4,18.2,76.8,2,0,2,0,0,0,76,79,12,NZ,2013,2014,2012,Right Hand,22.865753419999997,23.865753419999997,21.865753419999997
JE Root,1990-12-30,Right hand Bat,Spinner,Batter,160,30,261,23,5,21,6522,893,12027,133,90,254,47.6,35.72,50.11,7516,707,86.77,126.3,16,0,32,39,5,63,9,2,12,72,9,146,1638,5619,1587,139,3087,27,6,68,0.057692307692307696,0.2222222222222222,0.625,58.77,23.16,45.39,5.81,9.92,3.29,60.6,14.0,82.6,0,0,0,0,1,0,171,32,143,ENG,2013,2012,2012,Right Hand,22.580821919999998,21.580821919999998,21.580821919999998
JEC Franklin,1980-11-07,Left hand Bat,Pacer,Allrounder,80,31,46,27,8,7,1270,463,808,98,60,122,23.96,20.13,20.71,1651,391,76.92,118.41,0,0,1,4,2,2,5,2,6,97,26,54,3848,4767,3354,417,2786,81,20,82,0.11904761904761904,0.26666666666666666,0.05042016806722689,41.4,20.85,33.97,5.22,7.65,3.5,47.5,16.3,58.1,0,1,1,0,3,0,110,38,31,NZ,2001,2001,2006,Left Hand,20.7260274,20.7260274,25.7260274
JJ Roy,1990-07-21,Right hand Bat,Unknown,Batter,110,64,10,3,1,0,4271,1522,187,180,78,72,39.91,24.15,18.7,4047,1106,105.53,137.61,12,0,0,21,8,1,11,7,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,116,64,5,ENG,2015,2019,2014,Unknown,25.021917809999998,29.021917809999998,24.021917809999998
JL Denly,1986-03-16,Right hand Bat,Spinner,Batter,13,12,28,0,2,0,446,125,827,87,30,94,34.3,12.5,29.53,629,118,70.9,105.93,0,0,0,4,0,6,0,2,0,4,6,12,102,390,101,93,219,1,7,2,0.041666666666666664,0.21052631578947367,0.047619047619047616,101.0,13.28,109.5,5.94,7.75,3.36,102.0,10.2,195.0,0,1,0,0,0,0,16,13,15,ENG,2009,2019,2009,Right Hand,23.369863010000003,33.36986301,23.369863010000003
JM Bairstow,1989-09-26,Right hand Bat,Pacer,Batter,98,72,178,8,16,12,3868,1671,6042,141,90,167,42.97,29.83,36.39,3758,1215,102.92,137.53,11,0,12,17,10,26,9,6,17,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,107,80,100,ENG,2011,2012,2011,Right Hand,21.84109589,22.84109589,21.84109589
JM How,1981-05-19,Right hand Bat,Spinner,Batter,37,5,35,1,0,1,1046,56,772,139,31,92,29.05,11.2,22.7,1572,67,66.53,83.58,1,0,0,7,0,4,3,0,4,0,0,2,0,12,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,41,5,19,NZ,2005,2006,2007,Right Hand,24.19452055,25.19452055,26.19452055
JM Vince,1991-03-14,Right hand Bat,Pacer,Batter,22,17,22,0,0,0,616,463,548,102,59,83,28.0,27.23,24.9,703,361,87.62,128.25,1,0,0,3,2,3,1,0,2,2,0,4,42,24,38,0,13,1,0,0,0.05555555555555555,0.0,0.0,38.0,0.0,0.0,5.42,0.0,3.25,42.0,0.0,0.0,0,0,0,0,0,0,25,17,13,ENG,2015,2016,2015,Right Hand,24.37534247,25.37534247,24.37534247
