Player Name,Player URL,Span,Matches,Innings,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Born,Age,Batting Style,Bowling Style,Playing Role,Height
IP Swaney (SGP),https://www.espncricinfo.com/ci/content/player/1179841.html,2022-2024,5,4,0,11,7,2.75,21,52.38,0,0,1,1,0,13-Sep-01,22y 320d,Left hand Bat,Slow Left arm Orthodox,,
V Shetty (UAE),https://www.espncricinfo.com/ci/content/player/342182.html,2014-2014,2,2,1,11,10,11,13,84.61,0,0,0,1,0,"October 17, 1983, Mumbai, India",40y 286d,Right hand Bat,Right arm Offbreak,Middle order Batter,
Shunan Ali (MDV),https://www.espncricinfo.com/ci/content/player/822517.html,2022-2022,1,1,1,11,11*,-,23,47.82,0,0,0,0,0,15-Mar-98,26y 136d,Right hand Bat,Legbreak,,
Suresh Kumar (Peru),https://www.espncricinfo.com/ci/content/player/1203178.html,2019-2019,2,2,1,11,10*,11,15,73.33,0,0,0,0,0,22-Feb-77,47y 158d,Right hand Bat,Right arm Medium fast,,
Syed Amanullah (GRC),https://www.espncricinfo.com/ci/content/player/1267521.html,2021-2021,4,2,1,11,11*,11,14,78.57,0,0,1,0,1,10-Mar-88,36y 141d,Right hand Bat,Right arm Offbreak,,
Syed Tameem (QAT),https://www.espncricinfo.com/ci/content/player/1167794.html,2022-2022,1,1,0,11,11,11,22,50,0,0,0,0,0,,,,,,
SW Tait (AUS),https://www.espncricinfo.com/ci/content/player/8076.html,2007-2016,21,6,2,11,6,2.75,15,73.33,0,0,1,0,1,"February 22, 1983, Bedford Park, Adelaide, South Australia",41y 158d,Right hand Bat,Right arm Fast,Bowler,1.93 m
Tanvir Islam (BAN),https://www.espncricinfo.com/ci/content/player/932665.html,2023-2024,4,2,1,11,8,11,12,91.66,0,0,0,1,0,"October 25, 1996, Barisal",27y 278d,Left hand Bat,Slow Left arm Orthodox,Bowler,
R Thapliyal (Belg),https://www.espncricinfo.com/ci/content/player/1380680.html,2023-2024,6,3,2,11,7*,11,11,100,0,0,1,1,0,28-Aug-90,33y 336d,Left hand Bat,Slow Left arm Orthodox,,
BM Tickner (NZ),https://www.espncricinfo.com/ci/content/player/854909.html,2019-2023,18,4,2,11,5*,5.5,23,47.82,0,0,0,0,0,"October 13, 1993, Napier, Hawke's Bay",30y 290d,Right hand Bat,Right arm Medium fast,Bowler,
M Tuilaepa (Samoa),https://www.espncricinfo.com/ci/content/player/1362928.html,2023-2023,2,2,1,11,9*,11,8,137.5,0,0,0,2,0,25-Jul-05,19y 4d,,,,
W Uisuk (THAI),https://www.espncricinfo.com/ci/content/player/307733.html,2020-2020,4,4,0,11,5,2.75,40,27.5,0,0,0,1,0,"February 06, 1992, Khon Kaen",32y 174d,Left hand Bat,Left arm Medium,,
TCW Veillard (GUE),https://www.espncricinfo.com/ci/content/player/526437.html,2019-2019,4,2,1,11,8,11,17,64.7,0,0,0,0,0,"December 27, 1996, Saint Peter Port",27y 215d,Right hand Bat,Slow Left arm Orthodox,,
RM West (IRE),https://www.espncricinfo.com/ci/content/player/38759.html,2009-2009,5,4,1,11,8,3.66,11,100,0,0,0,1,0,"April 27, 1979, New Plymouth, Taranaki",45y 93d,Left hand Bat,"Left arm Fast medium, Slow Left arm Orthodox",Bowler,
MA Wood (ENG),https://www.espncricinfo.com/ci/content/player/351588.html,2015-2024,34,3,3,11,5*,-,13,84.61,0,0,0,1,0,"January 11, 1990, Ashington, Northumberland",34y 200d,Right hand Bat,Right arm Fast,Bowler,
Yasir Shah (PAK),https://www.espncricinfo.com/ci/content/player/43685.html,2011-2011,2,1,1,11,11*,-,7,157.14,0,0,0,1,0,"May 02, 1986, Swabi, North-West Frontier Province (now Khyber Pakhtunkhwa)",38y 88d,Right hand Bat,Legbreak Googly,Bowler,
Zahoor Khan (UAE),https://www.espncricinfo.com/ci/content/player/384525.html,2017-2023,57,9,5,11,6,2.75,23,47.82,0,0,1,1,0,"May 25, 1989, Faisalabad, Punjab",35y 65d,Right hand Bat,Right arm Medium fast,Bowler,
Zakir Hasan (BAN),https://www.espncricinfo.com/ci/content/player/697059.html,2018-2023,4,4,0,11,10,2.75,19,57.89,0,0,2,1,0,"February 01, 1998, Bangladesh",26y 179d,Left hand Bat,,Wicketkeeper Batter,
Ali Hasan (ITA),https://www.espncricinfo.com/ci/content/player/1323418.html,2022-2022,6,1,1,10,10*,-,7,142.85,0,0,0,0,1,29-Oct-02,21y 274d,Left hand Bat,Left arm Medium fast,,
R Avery (BRA),https://www.espncricinfo.com/ci/content/player/893381.html,2019-2019,4,3,0,10,9,3.33,24,41.66,0,0,1,0,0,"February 03, 1976, Dover Kent, UK",48y 177d,Right hand Bat,Right arm Medium,,
AR Balla (CAM),https://www.espncricinfo.com/ci/content/player/1286500.html,2021-2023,11,10,1,10,3,1.11,46,21.73,0,0,4,0,0,9-Jul-94,30y 20d,Right hand Bat,Right arm Medium fast,,
CS Baugh (WI),https://www.espncricinfo.com/ci/content/player/51446.html,2008-2012,3,3,0,10,7,3.33,12,83.33,0,0,0,1,0,"June 23, 1982, Kingston, Jamaica",42y 36d,Right hand Bat,Legbreak Googly,Wicketkeeper,
J Buchanan (CAY),https://www.espncricinfo.com/ci/content/player/1360648.html,2023-2023,3,2,1,10,10,10,12,83.33,0,0,0,0,0,31-Dec-91,32y 211d,Left hand Bat,Right arm Offbreak,,
R Cunningham (GIBR),https://www.espncricinfo.com/ci/content/player/1274034.html,2021-2022,7,3,3,10,7*,-,13,76.92,0,0,0,0,0,11-Feb-70,54y 169d,Right hand Bat,Right arm Offbreak,,
AC Evans (SCOT),https://www.espncricinfo.com/ci/content/player/399259.html,2015-2022,35,10,2,10,8,1.25,17,58.82,0,0,6,1,0,"January 12, 1989, Pembury, Kent",35y 199d,Right hand Bat,Right arm Medium fast,Bowler,6ft 5in
Fareed Shius (MDV),https://www.espncricinfo.com/ci/content/player/1167830.html,2023-2023,2,1,0,10,10,10,21,47.61,0,0,0,2,0,27-Jul-03,21y 2d,Right hand Bat,,,
AM Fernando (SL),https://www.espncricinfo.com/ci/content/player/786925.html,2022-2024,5,2,2,10,10*,-,4,250,0,0,0,2,0,"July 31, 1997, Katuneriya",26y 364d,Right hand Bat,Right arm Medium fast,Bowler,
N Pradeep (SL),https://www.espncricinfo.com/ci/content/player/324358.html,2016-2021,16,6,5,10,8*,10,15,66.66,0,0,1,1,0,"October 19, 1986, Negombo",37y 284d,Right hand Bat,Right arm Fast medium,Bowler,5ft 10in
S Hallett (Peru),https://www.espncricinfo.com/ci/content/player/1203172.html,2019-2019,4,4,0,10,5,2.5,16,62.5,0,0,1,1,0,8-May-72,52y 82d,Left hand Bat,Left arm Medium fast,Wicketkeeper Batter,
J Hansrod (SWA),https://www.espncricinfo.com/ci/content/player/586029.html,2021-2021,4,3,0,10,7,3.33,25,40,0,0,0,1,0,27-May-73,51y 63d,Right hand Bat,Right arm Medium,,
S Jyoti (CAN),https://www.espncricinfo.com/ci/content/player/23860.html,2008-2008,2,2,1,10,10*,10,20,50,0,0,1,0,0,"December 14, 1973, Shimla, India",50y 228d,Right hand Bat,Right arm Offbreak,Batter,
G Kaltongga (VAN),https://www.espncricinfo.com/ci/content/player/1082733.html,2019-2019,3,2,0,10,10,5,12,83.33,0,0,1,1,0,5-Apr-97,27y 115d,Right hand Bat,Right arm Offbreak,,
A Karvelas (GRC),https://www.espncricinfo.com/ci/content/player/1115860.html,2022-2022,1,1,0,10,10,10,20,50,0,0,0,1,0,"March 20, 1994, Johannesburg, Gauteng",30y 131d,Right hand Bat,Right arm Medium fast,Bowler,
RWT Key (ENG),https://www.espncricinfo.com/ci/content/player/15876.html,2009-2009,1,1,1,10,10*,-,8,125,0,0,0,0,0,"May 12, 1979, East Dulwich, London",45y 78d,Right hand Bat,Right arm Offbreak,Top order Batter,6ft 1in
B Kgosiemang (BOT),https://www.espncricinfo.com/ci/content/player/1107686.html,2022-2023,6,3,2,10,6*,10,25,40,0,0,0,0,0,1-May-99,25y 89d,Right hand Bat,Right arm Fast,,
B Khumalo (BOT),https://www.espncricinfo.com/ci/content/player/1155576.html,2019-2023,16,5,3,10,4*,5,15,66.66,0,0,1,0,0,"January 23, 2002, Gaborone",22y 188d,Right hand Bat,Right arm Medium fast,,
VJ Kingma (NED),https://www.espncricinfo.com/ci/content/player/416103.html,2016-2024,22,6,2,10,4,2.5,21,47.61,0,0,1,0,0,"October 23, 1994, The Hague, Netherlands",29y 280d,Right hand Bat,Right arm Medium fast,Bowler,
CBRLS Kumara (SL),https://www.espncricinfo.com/ci/content/player/784375.html,2019-2023,26,6,3,10,4,3.33,11,90.9,0,0,1,2,0,"February 13, 1997, Kandy",27y 167d,Left hand Bat,Right arm Fast,Bowler,
M Leporoporo (LES),https://www.espncricinfo.com/ci/content/player/1163135.html,2021-2024,7,4,2,10,5,5,18,55.55,0,0,0,1,0,27-Jul-98,26y 2d,Right hand Bat,Right arm Medium,,
O Lutbayar (MNG),https://www.espncricinfo.com/ci/content/player/1400094.html,2023-2024,9,8,0,10,5,1.25,32,31.25,0,0,3,0,0,8-Aug-03,20y 356d,Right hand Bat,Right arm Medium,,
Ma Qiancheng (CHN),https://www.espncricinfo.com/ci/content/player/1387425.html,2023-2024,11,7,2,10,7,2,51,19.6,0,0,2,0,0,10-Dec-04,19y 232d,Right hand Bat,Right arm Medium fast,,
B Namsrai (MNG),https://www.espncricinfo.com/ci/content/player/1400096.html,2023-2024,9,8,1,10,5,1.42,51,19.6,0,0,3,1,0,9-May-03,21y 81d,Right hand Bat,,,
N Ndouteng (CAM),https://www.espncricinfo.com/ci/content/player/1286501.html,2021-2023,5,4,2,10,9*,5,21,47.61,0,0,1,1,0,13-Aug-87,36y 351d,Right hand Bat,Right arm Medium fast,,
S Nerandzic (SRB),https://www.espncricinfo.com/ci/content/player/1203885.html,2019-2022,3,2,0,10,5,5,33,30.3,0,0,0,1,0,19-Mar-87,37y 132d,Right hand Bat,Right arm Medium,,
