Player Name,Player URL,Span,Matches,Innings,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Born,Age,Batting Style,Bowling Style,Playing Role,Height
C Chatphaisan (THAI),https://www.espncricinfo.com/ci/content/player/1322787.html,2022-2024,27,25,3,317,70*,14.4,324,97.83,0,1,6,28,5,10-Jun-04,20y 49d,Right hand Bat,Right arm Medium,,
Zaheer Ibrahim (QAT),https://www.espncricinfo.com/ci/content/player/319752.html,2019-2021,24,22,5,317,50,18.64,280,113.21,0,1,3,35,8,2-Apr-88,36y 118d,Right hand Bat,Right arm Offbreak,,
BM Duckett (ENG),https://www.espncricinfo.com/ci/content/player/521637.html,2019-2023,12,12,2,315,70*,31.5,217,145.16,0,1,0,40,2,"October 17, 1994, Farnborough, Kent",29y 286d,Left hand Bat,Right arm Offbreak,Top order Batter,
Sahil Chauhan (EST),https://www.espncricinfo.com/ci/content/player/1400318.html,2023-2024,8,8,3,315,144*,63,125,252,1,1,1,15,34,19-Feb-92,32y 161d,Right hand Bat,Right arm Medium,,
Abhijeet Ahuja (HUN),https://www.espncricinfo.com/ci/content/player/1204125.html,2021-2023,19,18,1,314,75,18.47,328,95.73,0,2,3,25,7,"January 16, 1987, Mumbai",37y 195d,Right hand Bat,Right arm Medium,,
NJ Ferraby (JER),https://www.espncricinfo.com/ci/content/player/13312.html,2019-2021,18,18,1,314,81*,18.47,284,110.56,0,1,3,39,2,"May 31, 1983, Market Harborough, Leicestershire",41y 59d,Right hand Bat,Right arm Medium,,
Osama Mahmood (SUI),https://www.espncricinfo.com/ci/content/player/1284226.html,2021-2024,15,14,2,314,58*,26.16,274,114.59,0,2,2,31,7,26-Sep-95,28y 307d,Left hand Bat,Right arm Medium fast,,
PA Raikes (GIBR),https://www.espncricinfo.com/ci/content/player/298154.html,2021-2024,15,15,2,314,74*,24.15,295,106.44,0,2,0,25,8,"April 20, 1990, Gibraltar",34y 100d,Right hand Bat,,,
Ehsan Khan (HKG),https://www.espncricinfo.com/ci/content/player/40082.html,2016-2024,67,39,18,313,42*,14.9,305,102.62,0,0,6,16,13,27-Dec-84,39y 215d,Right hand Bat,Right arm Offbreak,Bowler,
Tanzid Hasan (BAN),https://www.espncricinfo.com/ci/content/player/990023.html,2024-2024,14,14,2,313,67*,26.08,266,117.66,0,3,3,34,10,"December 01, 2000, Bogra",23y 241d,Left hand Bat,,Opening Batter,
Pargat Singh (CAN),https://www.espncricinfo.com/ci/content/player/446690.html,2022-2024,19,18,1,312,82,18.35,301,103.65,0,2,4,30,6,"April 13, 1992, Ropar",32y 107d,Right hand Bat,Right arm Offbreak,Allrounder,
Faheem Ashraf (PAK),https://www.espncricinfo.com/ci/content/player/681117.html,2017-2023,48,33,8,311,31,12.44,241,129.04,0,0,4,19,18,"January 16, 1994, Kasur (Punjab)",30y 195d,Left hand Bat,Right arm Medium,Bowling Allrounder,
Khizer Ahmed (NOR),https://www.espncricinfo.com/ci/content/player/1188641.html,2019-2024,17,16,3,311,57*,23.92,272,114.33,0,1,1,33,7,"November 18, 1991, Karachi",32y 254d,Right hand Bat,,Wicketkeeper Batter,
AV Lazarus (THAI),https://www.espncricinfo.com/ci/content/player/1418085.html,2024-2024,13,12,3,311,95,34.55,246,126.42,0,3,0,25,15,18-Sep-91,32y 315d,,,,
Muhammad Kashif (KUW),https://www.espncricinfo.com/ci/content/player/1093661.html,2019-2022,21,18,4,311,53,22.21,294,105.78,0,2,1,20,15,22-Oct-87,36y 281d,Right hand Bat,Right arm Offbreak,,
CR Brathwaite (WI),https://www.espncricinfo.com/ci/content/player/457249.html,2011-2019,41,27,6,310,37*,14.76,274,113.13,0,0,3,13,22,"July 18, 1988, Barbados",36y 11d,Right hand Bat,Right arm Fast medium,Allrounder,
S Samarawickrama (SL),https://www.espncricinfo.com/ci/content/player/629076.html,2017-2024,19,18,2,310,61*,19.37,282,109.92,0,2,2,32,2,"August 30, 1995, Colombo",28y 334d,Right hand Bat,,Wicketkeeper Batter,
JA Fitzgerald (GIBR),https://www.espncricinfo.com/ci/content/player/1156724.html,2019-2024,34,29,13,309,28*,19.31,235,131.48,0,0,4,13,17,10-Apr-99,25y 110d,Right hand Bat,Right arm Medium fast,,
A Kheterpal (HUN),https://www.espncricinfo.com/ci/content/player/1204131.html,2021-2023,18,18,7,309,42,28.09,258,119.76,0,0,2,34,7,"June 25, 1981, Chandigarh",43y 34d,Right hand Bat,Right arm Medium,,
Saim Ayub (PAK),https://www.espncricinfo.com/ci/content/player/1161031.html,2023-2024,23,21,0,309,49,14.71,253,122.13,0,0,3,34,15,"May 24, 2002, Karachi, Pakistan",22y 66d,Left hand Bat,"Right arm Medium fast, Right arm Offbreak",Top order Batter,
ML Hayden (AUS),https://www.espncricinfo.com/ci/content/player/5616.html,2005-2007,9,9,3,308,73*,51.33,214,143.92,0,4,0,37,13,"October 29, 1971, Kingaroy, Queensland",52y 274d,Left hand Bat,Right arm Medium,Opening Batter,1.88 m
D Heyliger (CAN),https://www.espncricinfo.com/ci/content/player/1061467.html,2019-2024,39,25,17,308,30,38.5,179,172.06,0,0,2,21,21,"October 21, 1989, Suddie, Essequibo, Guyana",34y 282d,Right hand Bat,Right arm Medium,Bowler,
Mehran Khan (OMA),https://www.espncricinfo.com/ci/content/player/888565.html,2015-2024,41,32,5,308,29,11.4,268,114.92,0,0,4,21,13,13-Apr-87,37y 107d,Right hand Bat,Right arm Medium fast,Batter,
LB Ferbrache (GUE),https://www.espncricinfo.com/ci/content/player/303922.html,2019-2024,29,23,5,307,55,17.05,337,91.09,0,1,2,13,4,18-Mar-88,36y 133d,Right hand Bat,Right arm Offbreak,,
GP Meade (ITA),https://www.espncricinfo.com/ci/content/player/807549.html,2019-2024,32,25,7,307,59*,17.05,300,102.33,0,1,3,21,8,"March 19, 1996, South Africa",28y 132d,Right hand Bat,Right arm Medium fast,,
T Tshose (BOT),https://www.espncricinfo.com/ci/content/player/585436.html,2019-2023,26,21,6,307,60,20.46,209,146.88,0,1,2,20,13,"January 08, 1996, Botswana",28y 203d,Right hand Bat,Right arm Medium,Batting Allrounder,
Waqas Barkat (HKG),https://www.espncricinfo.com/ci/content/player/350632.html,2014-2020,30,25,3,307,37,13.95,333,92.19,0,0,3,25,0,"February 17, 1990, Rawalpindi, Punjab, Pakistan",34y 163d,Right hand Bat,Legbreak,Wicketkeeper Batter,
RL Chase (WI),https://www.espncricinfo.com/ci/content/player/391832.html,2021-2024,19,13,4,304,67*,33.77,240,126.66,0,2,2,27,9,"March 22, 1992, Barbados",32y 129d,Right hand Bat,Right arm Offbreak,Allrounder,
TS Kamunhukamwe (ZIM),https://www.espncricinfo.com/ci/content/player/713811.html,2020-2024,15,15,0,304,44,20.26,288,105.55,0,0,2,29,10,"July 10, 1995, Chitungwiza",29y 19d,Right hand Bat,Right arm Offbreak,Opening Batter,
TG Southee (NZ),https://www.espncricinfo.com/ci/content/player/232364.html,2008-2024,126,50,23,303,39,11.22,218,138.99,0,0,6,20,18,"December 11, 1988, Whangarei, Northland",35y 231d,Right hand Bat,Right arm Medium fast,Bowler,
S Veerapathiran (BHR),https://www.espncricinfo.com/ci/content/player/1217274.html,2020-2024,43,34,11,302,33*,13.13,244,123.77,0,0,5,20,17,30-Apr-91,33y 90d,Right hand Bat,Right arm Medium,Allrounder,
KC Ramamoorthy (INA),https://www.espncricinfo.com/ci/content/player/1167317.html,2022-2024,17,16,0,301,55,18.81,263,114.44,0,2,2,28,11,6-Nov-89,34y 266d,Right hand Bat,Right arm Offbreak,,
Lakshit Gupta (CAM),https://www.espncricinfo.com/ci/content/player/348044.html,2023-2024,21,21,2,300,55,15.78,336,89.28,0,1,1,23,8,6-Oct-98,25y 297d,Right hand Bat,Right arm Offbreak,,
XM Marshall (USA/WI),https://www.espncricinfo.com/ci/content/player/52626.html,2008-2021,20,18,1,300,47*,17.64,290,103.44,0,0,2,26,9,"March 27, 1986, Jamaica",38y 124d,Right hand Bat,Right arm Offbreak,Opening Batter,
Muhamad Syahadat (MAS),https://www.espncricinfo.com/ci/content/player/348125.html,2019-2024,28,22,11,300,41*,27.27,256,117.18,0,0,1,19,14,"March 24, 1994, Keluang Johor",30y 127d,Right hand Bat,Right arm Offbreak,,
Zahir Mohammed (HUN),https://www.espncricinfo.com/ci/content/player/1204127.html,2021-2023,19,17,0,300,78,17.64,199,150.75,0,1,1,23,22,"December 25, 1990, Dupkalay",33y 217d,Right hand Bat,Right arm Medium,,
NL McCullum (NZ),https://www.espncricinfo.com/ci/content/player/37749.html,2007-2016,63,41,15,299,36*,11.5,297,100.67,0,0,4,19,8,"September 01, 1980, Dunedin, Otago",43y 332d,Right hand Bat,Right arm Offbreak,Bowler,
R Panchal (ESP),https://www.espncricinfo.com/ci/content/player/469191.html,2019-2023,22,18,7,299,71*,27.18,331,90.33,0,1,1,11,9,"January 05, 1994, Birmingham, United Kingdom",30y 206d,Right hand Bat,Right arm Medium fast,,
BJ Bennett (ZIM),https://www.espncricinfo.com/ci/content/player/1071484.html,2023-2024,16,16,2,298,70,21.28,220,135.45,0,1,2,31,13,10-Nov-03,20y 262d,Right hand Bat,Right arm Offbreak,Allrounder,
RR Sarwan (WI),https://www.espncricinfo.com/ci/content/player/52969.html,2007-2010,18,16,3,298,59,22.92,286,104.19,0,2,1,19,6,"June 23, 1980, Wakenaam Island, Essequibo, Guyana",44y 36d,Right hand Bat,Legbreak,Batter,
Simi Singh (IRE),https://www.espncricinfo.com/ci/content/player/1005257.html,2018-2022,53,40,11,296,57*,10.2,273,108.42,0,1,8,18,8,"February 04, 1987, Bathlana, Punjab, India",37y 176d,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Bowling Allrounder,
Jaspal Singh (MLT),https://www.espncricinfo.com/ci/content/player/1369881.html,2023-2024,19,19,3,295,65*,18.43,278,106.11,0,2,2,21,17,17-Oct-86,37y 286d,Right hand Bat,Right arm Medium,,
WA Young (NZ),https://www.espncricinfo.com/ci/content/player/547749.html,2021-2024,18,17,0,295,56,17.35,287,102.78,0,2,0,31,9,"November 22, 1992, New Plymouth",31y 250d,Right hand Bat,Right arm Offbreak,Top order Batter,
AM Kimote (TAN),https://www.espncricinfo.com/ci/content/player/470752.html,2021-2024,62,39,19,294,32,14.7,273,107.69,0,0,5,25,6,"May 26, 1992, Tanzania",32y 64d,Right hand Bat,Right arm Medium,,
H Patel (CAN),https://www.espncricinfo.com/ci/content/player/414248.html,2010-2021,15,15,1,294,88*,21,285,103.15,0,2,2,28,3,"August 10, 1991, Ahmedabad, Gujarat, India",32y 354d,Right hand Bat,Slow Left arm Orthodox,Batter,
Hassan Rasheed (MDV),https://www.espncricinfo.com/ci/content/player/446815.html,2019-2024,28,25,1,293,34,12.2,355,82.53,0,0,3,20,7,9-Mar-93,31y 142d,Right hand Bat,,,
C Karunaratne (SL),https://www.espncricinfo.com/ci/content/player/623695.html,2021-2023,42,34,16,291,31,16.16,274,106.2,0,0,6,15,12,"May 29, 1996, Colombo",28y 61d,Right hand Bat,Right arm Medium fast,Bowling Allrounder,
CA Lynn (AUS),https://www.espncricinfo.com/ci/content/player/326637.html,2014-2018,18,16,1,291,44,19.4,221,131.67,0,0,1,28,14,"April 10, 1990, Brisbane, Queensland",34y 110d,Right hand Bat,Slow Left arm Orthodox,Batter,
HDRL Thirimanne (SL),https://www.espncricinfo.com/ci/content/player/301236.html,2012-2016,26,20,2,291,44,16.16,267,108.98,0,0,1,27,5,"August 09, 1989, Moratuwa",34y 355d,Left hand Bat,Right arm Medium fast,Top order Batter,5ft 10in
MTMMJ Ave (COK),https://www.espncricinfo.com/ci/content/player/953285.html,2022-2022,6,6,2,290,92*,72.5,225,128.88,0,3,0,30,10,"July 06, 1998, Wellington",26y 23d,Right hand Bat,,,
I Kaia (ZIM),https://www.espncricinfo.com/ci/content/player/465327.html,2021-2024,19,19,0,290,54,15.26,277,104.69,0,1,1,27,7,"August 10, 1992, Harare",31y 354d,Right hand Bat,Legbreak,Opening Batter,
A Sharma (UAE),https://www.espncricinfo.com/ci/content/player/1294141.html,2023-2023,11,11,1,290,60,29,271,107.01,0,3,1,39,2,3-Dec-04,19y 239d,Right hand Bat,,Wicketkeeper Batter,
Aaftab Alam Khan (MLT),https://www.espncricinfo.com/ci/content/player/1269467.html,2021-2023,27,26,7,289,71*,15.21,235,122.97,0,1,5,26,11,31-Jan-86,38y 180d,Right hand Bat,Right arm Medium fast,Wicketkeeper Batter,
Amjad Sher (FIN),https://www.espncricinfo.com/ci/content/player/1194056.html,2019-2024,28,27,2,289,37*,11.56,203,142.36,0,0,2,12,17,11-Nov-86,37y 261d,Right hand Bat,Right arm Medium,,
AN Kervezee (NED),https://www.espncricinfo.com/ci/content/player/214695.html,2009-2012,10,10,1,289,58*,32.11,262,110.3,0,2,0,19,6,"September 11, 1989, Walvis Bay, Republic of South Africa (now Namibia)",34y 322d,Right hand Bat,Right arm Medium,Opening Batter,
J Broad (GER),https://www.espncricinfo.com/ci/content/player/948595.html,2022-2022,9,9,2,288,62,41.14,241,119.5,0,3,0,26,3,30-Jun-00,24y 29d,Right hand Bat,Right arm Medium,Batting Allrounder,
Hamza Dar (ESP),https://www.espncricinfo.com/ci/content/player/1178902.html,2019-2024,19,17,3,288,59*,20.57,258,111.62,0,1,1,18,11,25-Jul-95,29y 4d,Left hand Bat,Right arm Medium,,
VS Padhaal (FIN),https://www.espncricinfo.com/ci/content/player/1156464.html,2019-2024,26,25,2,288,46,12.52,311,92.6,0,0,2,24,5,26-Oct-78,45y 277d,Right hand Bat,Right arm Offbreak,,
Ameer Saiyed (BOT),https://www.espncricinfo.com/ci/content/player/628236.html,2019-2023,16,15,0,287,55,19.13,285,100.7,0,1,0,29,6,"April 09, 1996, Botswana",28y 111d,Left hand Bat,Slow Left arm Orthodox,,
R Obuya (UGA),https://www.espncricinfo.com/ci/content/player/1380565.html,2023-2024,21,19,2,287,57,16.88,245,117.14,0,1,3,24,13,12-Dec-00,23y 230d,Right hand Bat,,Batter,
LN Oluoch (KENYA),https://www.espncricinfo.com/ci/content/player/440162.html,2013-2024,59,34,14,287,32,14.35,245,117.14,0,0,3,22,11,"August 07, 1991, Nairobi, Kenya",32y 357d,Right hand Bat,Left arm Fast medium,Bowler,
A Turay (SLE),https://www.espncricinfo.com/ci/content/player/1347288.html,2022-2023,18,18,2,287,78*,17.93,277,103.61,0,1,2,31,6,19-Sep-07,16y 314d,Right hand Bat,Legbreak,,
A Venkatesh (SWE),https://www.espncricinfo.com/ci/content/player/1101939.html,2021-2022,16,16,2,287,54,20.5,272,105.51,0,1,2,25,2,30-Dec-89,34y 212d,Right hand Bat,Right arm Medium,,
CF Tlali (LES),https://www.espncricinfo.com/ci/content/player/1163137.html,2021-2024,18,17,1,286,42,17.87,289,98.96,0,0,3,23,7,28-Apr-97,27y 92d,Right hand Bat,,,
A Bagai (CAN),https://www.espncricinfo.com/ci/content/player/23797.html,2008-2013,9,9,2,284,67*,40.57,249,114.05,0,2,0,27,0,"January 26, 1982, Delhi, India",42y 185d,Right hand Bat,,Wicketkeeper Batter,
BJ McCarthy (IRE),https://www.espncricinfo.com/ci/content/player/348059.html,2017-2024,56,35,13,284,51*,12.9,243,116.87,0,1,7,19,15,13-Sep-92,31y 320d,Right hand Bat,Right arm Fast medium,Bowler,
J Mosca (ITA),https://www.espncricinfo.com/ci/content/player/1323415.html,2022-2024,14,14,1,284,72,21.84,192,147.91,0,2,1,32,10,15-Nov-94,29y 257d,Left hand Bat,,,
NN Odhiambo (KENYA),https://www.espncricinfo.com/ci/content/player/238612.html,2007-2022,43,31,5,284,41,10.92,272,104.41,0,0,6,31,6,"August 07, 1983, Nairobi, Kenya",40y 357d,Right hand Bat,Right arm Medium fast,Bowler,
Saad Bin Zafar (CAN),https://www.espncricinfo.com/ci/content/player/359746.html,2019-2024,41,21,8,283,29*,21.76,225,125.77,0,0,1,25,11,"November 10, 1986, Gujranwala, Punjab, Pakistan",37y 262d,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Habib Khan (EST),https://www.espncricinfo.com/ci/content/player/591665.html,2021-2022,12,12,0,282,60,23.5,235,120,0,3,1,14,17,11-Oct-93,30y 292d,Right hand Bat,Right arm Medium,,
N Knights (IOM),https://www.espncricinfo.com/ci/content/player/1046621.html,2020-2023,18,17,0,282,69,16.58,197,143.14,0,2,4,25,17,18-Sep-97,26y 315d,Right hand Bat,,Opening Batter,
GE Ngegba (SLE),https://www.espncricinfo.com/ci/content/player/1089824.html,2022-2023,23,23,5,282,38*,15.66,316,89.24,0,0,5,30,2,12-Nov-02,21y 260d,Right hand Bat,Right arm Offbreak,,
Abdul-Shakoor Rahimzei (GER),https://www.espncricinfo.com/ci/content/player/1156489.html,2019-2023,26,21,3,281,59,15.61,268,104.85,0,1,2,21,7,19-Mar-99,25y 132d,Right hand Bat,Right arm Offbreak,,
Abhishek Ahuja (HUN),https://www.espncricinfo.com/ci/content/player/1204126.html,2022-2024,17,16,0,281,61,17.56,267,105.24,0,1,4,26,10,"August 07, 1985, Mumbai",38y 357d,Right hand Bat,Right arm Offbreak,,
ARA Chambers (PORT),https://www.espncricinfo.com/ci/content/player/1156627.html,2021-2024,17,17,1,281,44,17.56,304,92.43,0,0,1,31,2,"August 11, 1994, Porto",29y 353d,Right hand Bat,Right arm Medium fast,,
Mohammad Shahzad (UAE),https://www.espncricinfo.com/ci/content/player/738445.html,2015-2017,20,20,2,281,52,15.61,239,117.57,0,1,2,25,11,"August 15, 1979, Gujaranwala, Punjab, Pakistan",44y 349d,Right hand Bat,Right arm Medium fast,Allrounder,
Rafiullah (OMA),https://www.espncricinfo.com/ci/content/player/1174143.html,2022-2024,28,22,3,281,32,14.78,163,172.39,0,0,3,14,26,16-Aug-96,27y 348d,Right hand Bat,Right arm Medium,Bowler,
SA Engelbrecht (NED),https://www.espncricinfo.com/ci/content/player/315035.html,2024-2024,12,10,1,280,75,31.11,211,132.7,0,1,1,21,12,"September 15, 1988, Johannesburg, Transvaal (now Gauteng)",35y 318d,Right hand Bat,Right arm Offbreak,Allrounder,
Aminuddin Ramly (MAS),https://www.espncricinfo.com/ci/content/player/307640.html,2019-2021,23,21,4,280,41,16.47,189,148.14,0,0,1,13,20,"May 16, 1990, Kuala Pilah, Negeri Sembilan",34y 74d,Right hand Bat,Right arm Medium,Allrounder,
BN Toube (CAM),https://www.espncricinfo.com/ci/content/player/1286510.html,2021-2023,17,16,0,280,49,17.5,292,95.89,0,0,2,32,9,28-Jan-96,28y 183d,Right hand Bat,Right arm Medium fast,,
AC Agar (AUS),https://www.espncricinfo.com/ci/content/player/505120.html,2016-2024,49,29,5,279,29,11.62,278,100.35,0,0,4,19,9,"October 14, 1993, Melbourne, Victoria",30y 289d,Left hand Bat,Slow Left arm Orthodox,Bowler,
Arslan Amjad (EST),https://www.espncricinfo.com/ci/content/player/1320549.html,2022-2024,14,14,1,279,63,21.46,254,109.84,0,2,3,21,11,4-May-91,33y 86d,Right hand Bat,Right arm Medium,,
TC Bruce (NZ),https://www.espncricinfo.com/ci/content/player/707113.html,2017-2020,17,17,2,279,59*,18.6,228,122.36,0,2,2,24,7,"August 02, 1991, Te Kuiti, King Country",32y 362d,Right hand Bat,Right arm Offbreak,Top order Batter,
Fanyan Mughal (MLT),https://www.espncricinfo.com/ci/content/player/492687.html,2023-2024,24,23,2,279,56,13.28,257,108.56,0,1,2,23,14,3-Oct-86,37y 300d,,,,
JP Kaltapau (VAN),https://www.espncricinfo.com/ci/content/player/1115057.html,2022-2024,19,17,0,279,60,16.41,290,96.2,0,1,2,27,2,"September 08, 1999, Santo",24y 325d,Right hand Bat,Right arm Offbreak,,
PHKD Mendis (SL),https://www.espncricinfo.com/ci/content/player/784373.html,2018-2024,15,14,1,279,65*,21.46,225,124,0,1,1,28,10,"September 30, 1998, Galle",25y 303d,Left hand Bat,"Right arm Offbreak, Slow Left arm Orthodox",Allrounder,
Z Bimenyimana (RWN),https://www.espncricinfo.com/ci/content/player/1151261.html,2021-2024,70,48,13,278,30,7.94,217,128.11,0,0,11,14,20,"July 28, 1998, Rwanda",26y 1d,Right hand Bat,Right arm Medium,,
Shoaib Khan (OMA),https://www.espncricinfo.com/ci/content/player/1276700.html,2022-2024,24,23,6,277,57,16.29,262,105.72,0,1,5,28,6,6-Dec-92,31y 236d,Right hand Bat,Right arm Medium,Batter,
Khalid Kail (OMA),https://www.espncricinfo.com/ci/content/player/624813.html,2024-2024,17,15,4,276,55,25.09,249,110.84,0,2,0,21,10,13-Oct-96,27y 290d,Right hand Bat,,Middle order Batter,
T Perera (BOT),https://www.espncricinfo.com/ci/content/player/1089937.html,2019-2022,16,15,3,276,30,23,305,90.49,0,0,1,31,5,6-Jul-00,24y 23d,Right hand Bat,Right arm Fast,,
F Banunaek (INA),https://www.espncricinfo.com/ci/content/player/1167320.html,2022-2024,29,18,2,275,54,17.18,315,87.3,0,1,2,18,4,25-Oct-01,22y 278d,Right hand Bat,Right arm Medium,,
SC Getkate (IRE),https://www.espncricinfo.com/ci/content/player/303508.html,2019-2022,30,26,3,275,30,11.95,246,111.78,0,0,1,10,15,"October 02, 1991, Durban, South Africa",32y 301d,Right hand Bat,Right arm Medium fast,Allrounder,
SS McKechnie (HKG),https://www.espncricinfo.com/ci/content/player/459752.html,2019-2023,30,25,9,275,44,17.18,280,98.21,0,0,2,20,3,"August 06, 1991, Salford, Manchester, Lancashire",32y 358d,Right hand Bat,,Wicketkeeper Batter,
Ali Raza (Belg),https://www.espncricinfo.com/ci/content/player/520128.html,2021-2024,20,17,1,275,50,17.18,194,141.75,0,1,2,26,15,"January 20, 1984, Pakistan",40y 191d,Right hand Bat,,,
TAM Siriwardana (SL),https://www.espncricinfo.com/ci/content/player/222354.html,2015-2017,22,19,3,275,42,17.18,208,132.21,0,0,4,16,12,"December 04, 1985, Nagoda",38y 238d,Left hand Bat,Slow Left arm Orthodox,Allrounder,5ft 11in
E Beukes (CAM),https://www.espncricinfo.com/ci/content/player/413023.html,2023-2024,22,19,6,273,39,21,213,128.16,0,0,3,16,16,17-Dec-97,26y 225d,Right hand Bat,Right arm Medium,,
D Myers (ZIM),https://www.espncricinfo.com/ci/content/player/946517.html,2021-2024,13,13,1,273,65*,22.75,233,117.16,0,1,1,25,4,"March 21, 2002, Harare",22y 130d,Right hand Bat,Right arm Medium,Top order Batter,
Sohaib Maqsood (PAK),https://www.espncricinfo.com/ci/content/player/43266.html,2013-2021,26,22,2,273,37,13.65,234,116.66,0,0,2,20,11,"April 15, 1987, Multan, Punjab",37y 105d,Right hand Bat,Right arm Offbreak,Middle order Batter,
SM Curran (ENG),https://www.espncricinfo.com/ci/content/player/662973.html,2019-2024,51,30,9,272,50,12.95,230,118.26,0,1,0,16,12,"June 03, 1998, Northampton",26y 56d,Left hand Bat,Left arm Medium fast,Allrounder,
AC Gilchrist (AUS),https://www.espncricinfo.com/ci/content/player/5390.html,2005-2008,13,13,1,272,48,22.66,192,141.66,0,0,0,27,13,"November 14, 1971, Bellingen, New South Wales",52y 258d,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,1.86 m
A Shirai-Patmore (JPN),https://www.espncricinfo.com/ci/content/player/581583.html,2022-2024,19,17,1,272,38,17,286,95.1,0,0,1,29,0,20-Jun-97,27y 39d,Left hand Bat,,Wicketkeeper Batter,
Amjad Javed (UAE),https://www.espncricinfo.com/ci/content/player/25613.html,2014-2017,22,18,3,271,76,18.06,242,111.98,0,1,1,17,15,"July 05, 1980, Dubai",44y 24d,Right hand Bat,Right arm Medium,Allrounder,
JTS Sumerauer (JER),https://www.espncricinfo.com/ci/content/player/1112220.html,2019-2024,38,29,7,271,54*,12.31,213,127.23,0,1,2,16,11,"February 12, 2001, Ngamiland",23y 168d,Right hand Bat,Right arm Fast medium,,
J van Heerden (GER),https://www.espncricinfo.com/ci/content/player/698311.html,2022-2023,10,9,3,271,53*,45.16,225,120.44,0,1,0,36,2,"June 26, 1998, Pretoria",26y 33d,Right hand Bat,,,
M Spoors (CAN),https://www.espncricinfo.com/ci/content/player/1062334.html,2022-2022,10,9,2,269,108*,38.42,225,119.55,1,1,1,30,6,6-May-99,25y 84d,Right hand Bat,Legbreak Googly,Batter,
Waji Ul Hassan (KSA),https://www.espncricinfo.com/ci/content/player/1418076.html,2024-2024,13,10,2,269,115*,33.62,183,146.99,1,1,1,26,11,25-Feb-95,29y 155d,Right hand Bat,,,
FA Allen (WI),https://www.espncricinfo.com/ci/content/player/670013.html,2018-2024,37,26,8,268,34,14.88,198,135.35,0,0,5,15,21,"May 07, 1995, Kingston, Jamaica",29y 83d,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,
MV Boucher (SA),https://www.espncricinfo.com/ci/content/player/44111.html,2005-2010,25,21,6,268,36*,17.86,275,97.45,0,0,0,22,2,"December 03, 1976, East London, Cape Province",47y 239d,Right hand Bat,Right arm Medium,Wicketkeeper Batter,
A Randhawa (Aut),https://www.espncricinfo.com/ci/content/player/469212.html,2022-2024,21,18,2,268,78*,16.75,320,83.75,0,1,0,18,5,1-Mar-95,29y 150d,,,,
JS Malhotra (USA),https://www.espncricinfo.com/ci/content/player/430105.html,2019-2022,17,15,1,267,58,19.07,226,118.14,0,1,0,20,10,"November 04, 1989, Chandigarh, Punjab",34y 268d,Right hand Bat,Legbreak Googly,Wicketkeeper,
C Tommy (VAN),https://www.espncricinfo.com/ci/content/player/647711.html,2019-2023,18,17,0,267,47,15.7,285,93.68,0,0,2,15,10,27-Jun-97,27y 32d,Right hand Bat,,,
S Ghimire (PORT),https://www.espncricinfo.com/ci/content/player/396580.html,2023-2024,12,10,3,265,53*,37.85,218,121.55,0,1,0,29,5,28-Mar-99,25y 123d,Right hand Bat,Right arm Offbreak,,
CV Anto (KUW),https://www.espncricinfo.com/ci/content/player/1369680.html,2023-2024,16,16,3,264,54,20.3,176,150,0,1,0,15,19,22-Jun-94,30y 37d,Right hand Bat,,,
CN Greaves (SCOT),https://www.espncricinfo.com/ci/content/player/873199.html,2021-2024,29,22,9,264,45,20.3,248,106.45,0,0,1,20,6,12-Oct-90,33y 291d,Right hand Bat,Legbreak,Bowler,
Muhammad Younis (BHR),https://www.espncricinfo.com/ci/content/player/1217471.html,2020-2022,14,14,1,262,82*,20.15,203,129.06,0,1,2,27,11,5-Nov-86,37y 267d,Left hand Bat,Left arm Medium,,
Devender Singh (GHA),https://www.espncricinfo.com/ci/content/player/1273700.html,2021-2024,21,19,8,261,47*,23.72,221,118.09,0,0,1,18,9,9-Oct-90,33y 294d,Right hand Bat,,,
D Pretorius (SA),https://www.espncricinfo.com/ci/content/player/327830.html,2017-2022,30,17,5,261,77*,21.75,159,164.15,0,1,2,22,15,"March 29, 1989, Randfontein",35y 122d,Right hand Bat,Right arm Medium fast,Bowling Allrounder,
SA Wijeyeratne (CAN),https://www.espncricinfo.com/ci/content/player/300624.html,2019-2024,17,13,1,261,56,21.75,214,121.96,0,3,2,38,2,"June 03, 1989, Colombo",35y 56d,Right hand Bat,,Wicketkeeper Batter,6ft
ZM Tribe (JER),https://www.espncricinfo.com/ci/content/player/1112223.html,2021-2024,21,19,4,261,43*,17.4,248,105.24,0,0,1,23,4,16-Aug-01,22y 348d,Right hand Bat,Legbreak Googly,Top order Batter,
Sayed Monib (KUW),https://www.espncricinfo.com/ci/content/player/1217359.html,2020-2024,38,26,9,260,32*,15.29,153,169.93,0,0,2,17,20,8-Jun-92,32y 51d,Right hand Bat,Right arm Medium,Bowler,
T Taibu (ZIM),https://www.espncricinfo.com/ci/content/player/55805.html,2007-2012,17,15,6,259,45*,28.77,257,100.77,0,0,2,19,2,"May 14, 1983, Harare",41y 76d,Right hand Bat,Right arm Medium,Wicketkeeper Batter,5ft 5in
