Player Name,Player URL,Span,Matches,Innings,NO,Runs,HS,Ave,BF,SR,100,50,0,Born,Age,Batting Style,Bowling Style,Playing Role,Height
RJ Kirtley (ENG),https://www.espncricinfo.com/ci/content/player/15901.html,2001-2004,11,2,0,2,1,1,11,18.18,0,0,0,"January 10, 1975, Eastbourne, Sussex",49y 201d,Right hand Bat,Right arm Fast medium,Bowler,6ft
Masood Iqbal (PAK),https://www.espncricinfo.com/ci/content/player/41275.html,1984-1984,1,1,0,2,2,2,2,100,0,0,0,"April 17, 1952, Lahore, Punjab",,Right hand Bat,,,
SC Meaker (ENG),https://www.espncricinfo.com/ci/content/player/297634.html,2011-2011,2,2,0,2,1,1,16,12.5,0,0,0,"January 21, 1989, Pietermaritzburg, Natal, South Africa",35y 190d,Right hand Bat,Right arm Fast medium,Bowler,6ft 1in
EJB Miles (JER),https://www.espncricinfo.com/ci/content/player/526468.html,2023-2023,4,3,2,2,1*,2,9,22.22,0,0,1,"June 26, 1997, Jersey",27y 33d,Right hand Bat,Slow Left arm Orthodox,,
DWO Morgan (BER),https://www.espncricinfo.com/ci/content/player/217522.html,2006-2006,2,2,0,2,1,1,11,18.18,0,0,0,"February 13, 1974, Chelmsford, Essex, England",50y 167d,Right hand Bat,,Opening Batter,
Morshed Ali Khan (BAN),https://www.espncricinfo.com/ci/content/player/55974.html,1998-1998,3,1,1,2,2*,-,4,50,0,0,0,"May 14, 1972, Faridpur, Dhaka",52y 76d,Left hand Bat,Left arm Medium,,
SP Mukherjee (IND),https://www.espncricinfo.com/ci/content/player/31048.html,1990-1991,3,1,1,2,2*,-,2,100,0,0,0,"October 05, 1964, Calcutta (now Kolkata), Bengal",59y 298d,Right hand Bat,Right arm Offbreak,,
Nadeem Khan (PAK),https://www.espncricinfo.com/ci/content/player/42047.html,1993-1995,2,1,0,2,2,2,3,66.66,0,0,0,"December 10, 1969, Rawalpindi, Punjab",54y 232d,Right hand Bat,Slow Left arm Orthodox,,
Nasir Javed (USA),https://www.espncricinfo.com/ci/content/player/25625.html,2004-2004,1,1,1,2,2*,-,19,10.52,0,0,0,"June 21, 1966, Lahore, Punjab",58y 38d,Right hand Bat,Legbreak Googly,,
DR O'Sullivan (NZ),https://www.espncricinfo.com/ci/content/player/38064.html,1974-1976,3,2,1,2,1*,2,5,40,0,0,0,"November 16, 1944, Palmerston North, Manawatu",79y 256d,Right hand Bat,Slow Left arm Orthodox,,
R Pathan (CAN),https://www.espncricinfo.com/ci/content/player/521478.html,2013-2013,1,1,0,2,2,2,9,22.22,0,0,0,"December 06, 1991, Toronto, Ontario",32y 236d,Right hand Bat,Right arm Fast medium,Batting Allrounder,
M Prasidh Krishna (IND),https://www.espncricinfo.com/ci/content/player/917159.html,2021-2023,17,7,5,2,2*,1,17,11.76,0,0,2,"February 19, 1996, Bangalore, Karnataka",28y 161d,Right hand Bat,Right arm Fast medium,Bowler,
MR Pydanna (WI),https://www.espncricinfo.com/ci/content/player/52683.html,1980-1983,3,1,1,2,2*,-,3,66.66,0,0,0,"January 27, 1950, New Amsterdam, West Bank, Berbice, British Guiana",74y 184d,Right hand Bat,,,
ACL Richards (WI),https://www.espncricinfo.com/ci/content/player/52918.html,2007-2007,1,1,0,2,2,2,2,100,0,0,0,"November 14, 1983, Freetown, Antigua",40y 258d,Left hand Bat,Right arm Medium,Batter,
Sameer Zia (UAE),https://www.espncricinfo.com/ci/content/player/25584.html,2004-2004,1,1,1,2,2*,-,20,10,0,0,0,"September 08, 1981, Dubai, United Arab Emirates",42y 325d,Right hand Bat,Right arm Offbreak,,6ft 2in
KR Sen (IND),https://www.espncricinfo.com/ci/content/player/1163695.html,2022-2022,1,1,1,2,2*,-,4,50,0,0,0,"October 22, 1996, Rewa, Madhya Pradesh",27y 281d,Right hand Bat,Right arm Fast,Bowler,
JNK Shannon (IRE),https://www.espncricinfo.com/ci/content/player/303437.html,2013-2013,1,1,0,2,2,2,8,25,0,0,0,"February 12, 1990, Belfast",34y 168d,Right hand Bat,Right arm Offbreak,Middle order Batter,
MJ Swepson (AUS),https://www.espncricinfo.com/ci/content/player/590326.html,2022-2022,3,1,0,2,2,2,2,100,0,0,0,4-Oct-93,30y 299d,Right hand Bat,Legbreak,Bowler,
GJ Thompson (IRE),https://www.espncricinfo.com/ci/content/player/24616.html,2008-2008,3,2,0,2,2,1,21,9.52,0,0,1,"September 17, 1987, Lisburn, Northern Ireland",36y 316d,Right hand Bat,Legbreak,Bowler,6ft
PIC Thompson (WI),https://www.espncricinfo.com/ci/content/player/53130.html,1997-1997,2,1,0,2,2,2,7,28.57,0,0,0,"September 26, 1971, Pine Garden, St Michael, Barbados",52y 307d,Right hand Bat,Right arm Fast medium,Bowler,
